Uniprot_ID	KEGG_Gene_ID	BRENDA	Complex Portal	EMBL	EcoGene	Ensembl_Transcript	Ensembl_Protein	Ensembl_Gene	Entrez Gene	Enzyme Nomenclature	GenBank	HGNC	HGNC Accession number	HomoloGene	InterPro	KEGG Genes	NCBI Protein	Pfam	Reactome	RefSeq	Rfam	Uniprot-TrEMBL	WikiPathways	Wikidata	miRBase Sequence	miRBase mature sequence	pato
A0A0U1RRE5	hsa:550643			AL158200,AL354865,CH471154,KF459114		ENST00000374922.9,ENST00000423617.2,ENST00000637096.1	ENSP00000489486.1,ENSP00000489583.1,ENSP00000490217.1	ENSG00000204272.13	550643			HGNC:50713	50713		IPR047852	hsa:550643		PF21949		NP_001335058.1							
A0A0U2N547	NA			AC006552,AC092545,KF510866,KT326922		ENST00000686011.1	ENSP00000509704.1	ENSG00000157404.17	3815			HGNC:6342	6342		IPR000719,IPR001245,IPR001824,IPR003598,IPR003599,IPR007110,IPR008266,IPR011009,IPR013151,IPR013783,IPR017441,IPR020635,IPR027263,IPR036179,IPR050122			PF00047,PF07714,PF25305		NP_001372215.1,XP_016863669.1							
A0A1B0GTB8	NA			AL606760		ENST00000636867.1	ENSP00000489631.1	ENSG00000157184.7	1376			HGNC:2330	2330		IPR000542,IPR023213,IPR039551,IPR042231,IPR042572			PF00755		NP_001317518.1							
A0A1B0GTW7	NA			AL117258,BC153822		ENST00000637218.2,ENST00000644000.1	ENSP00000489869.1,ENSP00000493582.1	ENSG00000283654.3	100128908			HGNC:53647	53647		IPR001577			PF01457		NP_001341569.1							
A0A1B0GV75	NA			AL606760		ENST00000636891.1	ENSP00000490399.1	ENSG00000157184.7				HGNC:2330	2330		IPR000542,IPR023213,IPR039551,IPR042231,IPR042572			PF00755									
A0A1B0GVF3	NA			AL606760		ENST00000637252.1	ENSP00000490492.1	ENSG00000157184.7				HGNC:2330	2330		IPR000542,IPR023213,IPR039551,IPR042231,IPR042572			PF00755									
A0A1B0GWC0	NA			AL606760		ENST00000635862.1	ENSP00000490867.1	ENSG00000157184.7				HGNC:2330	2330		IPR000542,IPR023213,IPR039551,IPR042231,IPR042572			PF00755									
A0A1B0GWI1	NA			AL355093		ENST00000411796.6	ENSP00000490936.1	ENSG00000196553.15				HGNC:20100	20100		IPR038857												
A0A2R8Y4I8	NA			AL121655,AL121658		ENST00000642455.1	ENSP00000493827.1	ENSG00000021574.15	6683			HGNC:11233	11233		IPR003593,IPR003959,IPR003960,IPR007330,IPR015415,IPR017179,IPR027417,IPR035106,IPR041569,IPR050304			PF00004,PF09336,PF17862		NP_001350804.1,XP_016860266.1							
A0A2R8Y8E0	NA			AC006006,AC006344,AC006347,AC079339		ENST00000644969.2	ENSP00000496776.1	ENSG00000157764.14	673			HGNC:1097	1097		IPR000719,IPR001245,IPR002219,IPR003116,IPR008271,IPR011009,IPR017441,IPR020454,IPR029071,IPR046349,IPR051681			PF00130,PF02196,PF07714		NP_001361187.1,XP_016868047.1							
A0A2R8YDP5	NA			AC006006,AC006344,AC006347,AC079339		ENST00000646730.1	ENSP00000494784.1	ENSG00000157764.14				HGNC:1097	1097		IPR000719,IPR001245,IPR002219,IPR003116,IPR011009,IPR017441,IPR020454,IPR020635,IPR029071,IPR046349,IPR051681			PF00130,PF02196,PF07714									
A0A2U3TZI2	NA			AC006006,AC006344,AC006347,AC079339		ENST00000288602.11	ENSP00000288602.7	ENSG00000157764.14	673			HGNC:1097	1097		IPR000719,IPR001245,IPR002219,IPR003116,IPR008271,IPR011009,IPR017441,IPR020454,IPR029071,IPR046349,IPR051681			PF00130,PF02196,PF07714		NP_001361173.1							
A0A2U3TZR0	NA			AL121655,AL121658		ENST00000621856.2	ENSP00000482496.2	ENSG00000021574.15	6683			HGNC:11233	11233		IPR003593,IPR003959,IPR003960,IPR007330,IPR015415,IPR017179,IPR027417,IPR035106,IPR041569,IPR050304			PF00004,PF09336,PF17862		NP_001350752.1,XP_005264573.1							
A0A3B3IRX2	NA			AL358253		ENST00000649436.1	ENSP00000496912.1	ENSG00000188257.12				HGNC:9031	9031		IPR001211,IPR016090,IPR033112,IPR033113,IPR036444			PF00068									
A0A3B3IRY8	NA			AC016931,AC016951,AC063918,AC073244,AC092969		ENST00000647596.1	ENSP00000497153.1	ENSG00000154928.19				HGNC:3392	3392		IPR000719,IPR001090,IPR001245,IPR001426,IPR001660,IPR003961,IPR008266,IPR008979,IPR009030,IPR011009,IPR013761,IPR013783,IPR016257,IPR017441,IPR020635,IPR027936,IPR034231,IPR036116,IPR050449			PF00041,PF00536,PF01404,PF07714,PF14575,PF25599									
A0A3B3IS53	NA			AC090571		ENST00000648335.1	ENSP00000497086.1	ENSG00000083168.11				HGNC:13013	13013		IPR001965,IPR002717,IPR005818,IPR011011,IPR013083,IPR016181,IPR019787,IPR036388,IPR036390,IPR040706,IPR048589,IPR050603			PF00628,PF01853,PF17772,PF21524									
A0A3B3IS73	NA			AC018511,AC063962		ENST00000647838.1,ENST00000648899.1	ENSP00000497198.1,ENSP00000497853.1	ENSG00000156650.14,ENSG00000281813.4				HGNC:17582	17582		IPR001965,IPR002717,IPR005818,IPR011011,IPR013083,IPR016181,IPR019787,IPR036388,IPR036390,IPR040706,IPR048589,IPR050603			PF00628,PF01853,PF17772,PF21524									
A0A3B3ISD1	NA			AC087623		ENST00000649678.1,ENST00000683815.1	ENSP00000497266.1,ENSP00000507997.1	ENSG00000077782.23	2260			HGNC:3688	3688		IPR000719,IPR001245,IPR003598,IPR003599,IPR007110,IPR008266,IPR011009,IPR013098,IPR013151,IPR013783,IPR016248,IPR017441,IPR020635,IPR028174,IPR036179,IPR050122			PF00047,PF07679,PF07714		NP_001397851.1,XP_016868713.1,XP_016868714.1							
A0A3B3ISD5	NA			AC018511,AC063962		ENST00000647666.1,ENST00000649924.1	ENSP00000497172.1,ENSP00000497307.1	ENSG00000156650.14,ENSG00000281813.4				HGNC:17582	17582		IPR001965,IPR002717,IPR005818,IPR011011,IPR013083,IPR016181,IPR019787,IPR036388,IPR036390,IPR040706,IPR048589,IPR050603			PF00538,PF00628,PF01853,PF17772,PF21524									
A0A3B3ISF5	NA			AC018511,AC063962		ENST00000648159.1,ENST00000648955.1	ENSP00000496888.1,ENSP00000497197.1	ENSG00000156650.14,ENSG00000281813.4				HGNC:17582	17582		IPR001965,IPR002717,IPR005818,IPR011011,IPR013083,IPR016181,IPR019787,IPR036388,IPR036390,IPR040706,IPR048589,IPR050603			PF00628,PF01853,PF17772,PF21524									
A0A3B3ISI1	NA			AC018511,AC063962		ENST00000648048.1,ENST00000648135.1	ENSP00000497325.1,ENSP00000497883.1	ENSG00000156650.14,ENSG00000281813.4				HGNC:17582	17582		IPR001965,IPR002717,IPR005818,IPR011011,IPR013083,IPR016024,IPR016181,IPR019787,IPR036388,IPR036390,IPR040706,IPR048589,IPR050603			PF00628,PF01853,PF17772,PF21524									
A0A3B3ISW3	NA			AC018511,AC063962		ENST00000647786.1,ENST00000649657.1	ENSP00000497163.1,ENSP00000497491.1	ENSG00000156650.14,ENSG00000281813.4				HGNC:17582	17582		IPR001965,IPR002717,IPR005818,IPR011011,IPR013083,IPR016181,IPR019787,IPR036388,IPR036390,IPR040706,IPR048589,IPR050603			PF00538,PF00628,PF01853,PF17772,PF21524									
A0A3B3ISY9	NA			AC004918,AC073878,AC099547		ENST00000648395.1	ENSP00000497666.1	ENSG00000006530.18				HGNC:21869	21869		IPR001206,IPR016064,IPR017438,IPR045579,IPR050187			PF00781,PF19712									
A0A3B3ISZ0	NA			AC004918,AC073878,AC099547		ENST00000650006.1	ENSP00000497457.1	ENSG00000006530.18	55750			HGNC:21869	21869		IPR001206,IPR016064,IPR017438,IPR045579,IPR050187			PF00781,PF19712		NP_001351877.1,XP_005250080.1							
A0A3B3IT19	NA			AC018511,AC063962		ENST00000648639.1,ENST00000650232.1	ENSP00000496846.1,ENSP00000497570.1	ENSG00000156650.14,ENSG00000281813.4				HGNC:17582	17582		IPR001965,IPR002717,IPR005818,IPR011011,IPR013083,IPR016024,IPR016181,IPR019787,IPR036388,IPR036390,IPR040706,IPR048589,IPR050603			PF00628,PF01853,PF17772,PF21524									
A0A3B3IT63	NA			AC018511,AC063962		ENST00000647637.1,ENST00000648246.1	ENSP00000497460.1,ENSP00000497620.1	ENSG00000156650.14,ENSG00000281813.4				HGNC:17582	17582		IPR001965,IPR002717,IPR005818,IPR011011,IPR013083,IPR016181,IPR019787,IPR036388,IPR036390,IPR040706,IPR048589,IPR050603			PF00628,PF01853,PF17772,PF21524									
A0A3B3ITA4	NA			AC018511,AC063962		ENST00000649533.1,ENST00000650048.1	ENSP00000497107.1,ENSP00000497813.1	ENSG00000156650.14,ENSG00000281813.4				HGNC:17582	17582		IPR001965,IPR002717,IPR005818,IPR011011,IPR013083,IPR016181,IPR019787,IPR036388,IPR036390,IPR040706,IPR048589,IPR050603			PF00538,PF00628,PF01853,PF17772,PF21524									
A0A3B3ITD0	NA			AC004918,AC073878,AC099547		ENST00000649914.1	ENSP00000497848.1	ENSG00000006530.18				HGNC:21869	21869		IPR001206,IPR016064,IPR017438,IPR045579,IPR050187			PF00781,PF19712									
A0A3B3ITI0	NA			AC018511,AC063962		ENST00000648370.1,ENST00000649483.1	ENSP00000496884.1,ENSP00000497804.1	ENSG00000156650.14,ENSG00000281813.4				HGNC:17582	17582		IPR001965,IPR002717,IPR005818,IPR011011,IPR013083,IPR016024,IPR016181,IPR019787,IPR036388,IPR036390,IPR040706,IPR048589,IPR050603			PF00628,PF01853,PF17772,PF21524									
A0A3B3ITI3	NA			AC090571		ENST00000649817.1	ENSP00000497780.1	ENSG00000083168.11				HGNC:13013	13013		IPR002717,IPR016181,IPR036388,IPR040706,IPR050603			PF01853,PF17772									
A0A3B3IU93	NA			AC018511,AC063962		ENST00000648502.1,ENST00000649375.1	ENSP00000496945.1,ENSP00000498141.1	ENSG00000156650.14,ENSG00000281813.4				HGNC:17582	17582		IPR001965,IPR002717,IPR005818,IPR011011,IPR013083,IPR016024,IPR016181,IPR019787,IPR036388,IPR036390,IPR040706,IPR048589,IPR050603			PF00628,PF01853,PF17772,PF21524									
A0A3B3IUA4	NA			AC018511,AC063962		ENST00000648483.1,ENST00000648699.1	ENSP00000497347.1,ENSP00000498153.1	ENSG00000156650.14,ENSG00000281813.4				HGNC:17582	17582		IPR001965,IPR002717,IPR005818,IPR016181,IPR019787,IPR036388,IPR036390,IPR048589,IPR050603			PF00538,PF01853,PF21524									
A0A3F2YNX6	NA			AC090571		ENST00000406337.6	ENSP00000385888.2	ENSG00000083168.11				HGNC:13013	13013		IPR001965,IPR002717,IPR005818,IPR011011,IPR013083,IPR016181,IPR019787,IPR036388,IPR036390,IPR040706,IPR048589,IPR050603			PF00628,PF01853,PF17772,PF21524									
A0A499FJK2	hsa:7040			AC011462		ENST00000221930.6	ENSP00000221930.4	ENSG00000105329.11	7040			HGNC:11766	11766		IPR001111,IPR001839,IPR003939,IPR015615,IPR016319,IPR017948,IPR029034	hsa:7040		PF00019,PF00688		NP_000651.3							
A0A5F9ZH41	NA			AL136131		ENST00000672860	ENSP00000500082	ENSG00000112715				HGNC:12680	12680		IPR000072,IPR023581,IPR027928,IPR029034,IPR036841,IPR050507			PF00341,PF14554									
A0A5F9ZHU3	NA			AC096539,AL591721,AL592151,AL662889		ENST00000672578.1	ENSP00000500597.1	ENSG00000117020.19	10000			HGNC:393	393		IPR000719,IPR000961,IPR001849,IPR008271,IPR011009,IPR011993,IPR017441,IPR017892,IPR034675			PF00069,PF00433		XP_016855474.1,XP_047273315.1,XP_047275142.1,XP_047276597.1,XP_047278347.1,XP_047280288.1,XP_054184600.1,XP_054184601.1,XP_054184602.1,XP_054189661.1,XP_054189662.1,XP_054189663.1							
A0A5K1VW74	NA			AC096539,AL591721,AL592151,AL662889		ENST00000366539.6	ENSP00000355497.2	ENSG00000117020.19				HGNC:393	393		IPR000719,IPR000961,IPR001849,IPR008271,IPR011009,IPR011993,IPR017441,IPR017892,IPR039026			PF00069,PF00169,PF00433									
A0A5S6RJB7	NA			AC009988,KF455288		ENST00000369058.7	ENSP00000358054.3	ENSG00000066468.24				HGNC:3689	3689		IPR000719,IPR001245,IPR003598,IPR003599,IPR007110,IPR008266,IPR011009,IPR013098,IPR013783,IPR016248,IPR017441,IPR020635,IPR036179,IPR050122			PF07679,PF07714,PF13927									
A0A669KB12	NA			AL035658,AL080243,AL096765		ENST00000674155.1	ENSP00000501078.1	ENSG00000100393.16	2033			HGNC:3373	3373		IPR000197,IPR000433,IPR001487,IPR003101,IPR009110,IPR010303,IPR013083,IPR013178,IPR014744,IPR018359,IPR031162,IPR035898,IPR036427,IPR036529,IPR037073,IPR038547,IPR043145,IPR056484			PF00439,PF00569,PF02135,PF02172,PF06001,PF08214,PF09030,PF23570		NP_001349772.1,XP_006724228.1							
A0A6I8PRU0	NA			AL021392,AL031588,AL031597,KF457493		ENST00000674500.2	ENSP00000501367.2	ENSG00000075275.18	9620			HGNC:1850	1850		IPR000152,IPR000203,IPR000742,IPR000832,IPR001791,IPR001879,IPR001881,IPR002049,IPR002126,IPR009030,IPR013320,IPR015919,IPR017981,IPR020894,IPR032471,IPR036445,IPR046338,IPR056286,IPR057244			PF00002,PF00008,PF00028,PF00053,PF01825,PF02210,PF02793,PF16489,PF23592		NP_001365257.1,XP_006724446.1							
A0A6Q8PF08	NA			AC005703		ENST00000395938.7,ENST00000674947.1	ENSP00000379269.3,ENSP00000501580.1	ENSG00000109099.16				HGNC:9118	9118		IPR004031,IPR004032			PF00822									
A0A6Q8PFY6	NA			AC106724,AC117384,KF457702		ENST00000675418	ENSP00000502021	ENSG00000196549				HGNC:7154	7154		IPR000718,IPR008753,IPR018497,IPR024079,IPR042089			PF01431,PF05649									
A0A6Q8PHB5	NA			AL139817,AL360001,AL591408		ENST00000675645.1	ENSP00000502663.1	ENSG00000076685.19				HGNC:8022	8022		IPR008380,IPR016695,IPR023214,IPR036412			PF05761									
A0A6Q8PHP0	NA			AL139817,AL360001,AL591408		ENST00000674860.1	ENSP00000502816.1	ENSG00000076685.19	22978			HGNC:8022	8022		IPR008380,IPR016695,IPR023214,IPR036412			PF05761		NP_001338099.1,NP_001338100.1,NP_001338101.1,NP_001338102.1,XP_005269689.1,XP_005269690.1,XP_005269691.1,XP_005269692.1,XP_024303669.1,XP_047280800.1,XP_047280801.1,XP_047280802.1,XP_054221213.1,XP_054221214.1,XP_054221215.1,XP_054221216.1							
A0A7I2PJA1	NA			AC016764,AC017033,KF510212,KF510752		ENST00000361492.9	ENSP00000354586.5	ENSG00000074047.22	2736			HGNC:4318	4318		IPR013087,IPR036236,IPR043359,IPR056436			PF00096,PF23561		NP_001361282.1,XP_006712485.1,XP_047299903.1							
A0A7I2R3P8	NA			AC104335,AL606804		ENST00000336119.8,ENST00000391828.8,ENST00000697350.1	ENSP00000337383.4,ENSP00000375704.4,ENSP00000513275.1	ENSG00000162711.19	114548			HGNC:16400	16400		IPR001611,IPR004020,IPR007111,IPR011029,IPR027417,IPR029495,IPR032675,IPR041075,IPR041267,IPR050637			PF02758,PF05729,PF13516,PF14484,PF17776,PF17779		NP_001073289.2,NP_001230062.1							
A0A7I2RW32	NA			AC016773		ENST00000412135.7	ENSP00000412903.3	ENSG00000068078.20				HGNC:3690	3690		IPR000719,IPR001245,IPR003598,IPR003599,IPR007110,IPR008266,IPR011009,IPR013098,IPR013783,IPR016248,IPR017441,IPR020635,IPR036179,IPR050122			PF07679,PF07714,PF13927,PF21165									
A0A7I2SVS4	NA			AC017028,AC062017,KF510800,KF510801		ENST00000543185.6	ENSP00000440481.3	ENSG00000068024.18	9759			HGNC:14063	14063		IPR000286,IPR023696,IPR023801,IPR024643,IPR037138,IPR046949			PF00850,PF12203		NP_001365343.1,NP_001365344.1,XP_006712941.1,XP_011510523.1,XP_011510524.1,XP_011510525.1,XP_047302432.1,XP_054200702.1,XP_054200703.1							
A0A7P0T828	NA			AL033533,KF455116		ENST00000681605.1	ENSP00000504900.1	ENSG00000073756.13				HGNC:9605	9605		IPR000742,IPR010255,IPR037120,IPR050783			PF00008									
A0A8C8L3F5	NA			AL157786		ENST00000433418.6	ENSP00000403647.2	ENSG00000197142.11	51703			HGNC:16526	16526		IPR000873,IPR020845,IPR042099,IPR045311			PF00501		NP_001373966.1,XP_016871813.1							
A0A8I5KW96	NA			AC022080,AC068774		ENST00000418260.3	ENSP00000510584.1	ENSG00000233381.4				HGNC:21596	21596		IPR000850,IPR006259,IPR007862,IPR027417,IPR028585,IPR028586,IPR033690,IPR036193			PF00406,PF05191									
A0A8I5KXN4	NA			AC011276,AC055855,AC116913		ENST00000685763.1	ENSP00000509016.1	ENSG00000169032.11				HGNC:6840	6840		IPR000719,IPR008271,IPR011009,IPR017441,IPR050915			PF00069									
A0A8I5KYB4	NA			AC011276,AC055855,AC116913		ENST00000685172.1	ENSP00000509604.1	ENSG00000169032.11				HGNC:6840	6840		IPR000719,IPR008271,IPR011009,IPR017441,IPR050915			PF00069									
A0A8I5KZ76	NA			AC136957,AF002223		ENST00000689314.1	ENSP00000510607.1	ENSG00000171100.16	4534			HGNC:7448	7448		IPR000387,IPR003595,IPR004182,IPR010569,IPR011993,IPR016130,IPR029021,IPR030564			PF02893,PF06602		XP_011529473.1,XP_011529474.1,XP_016885037.1,XP_054183089.1,XP_054183090.1,XP_054183091.1							
A0A8I5KZC4	NA			AC000036,AC000050		ENST00000692848.2	ENSP00000510794.2	ENSG00000251322.12				HGNC:14294	14294		IPR001452,IPR001478,IPR001660,IPR002110,IPR013761,IPR036028,IPR036034,IPR036770,IPR041489,IPR051569			PF00536,PF07653,PF12796,PF17820									
A0A8I5QJ96	NA			AC011276,AC055855,AC116913		ENST00000691937.1	ENSP00000508768.1	ENSG00000169032.11				HGNC:6840	6840		IPR000719,IPR008271,IPR011009,IPR017441,IPR050915			PF00069									
A0A8I5QJL1	NA			AC136957,AF002223		ENST00000691686.1	ENSP00000509784.1	ENSG00000171100.16				HGNC:7448	7448		IPR000387,IPR003595,IPR004182,IPR010569,IPR011993,IPR016130,IPR029021,IPR030564			PF02893,PF06602									
A0A8I5QJV9	NA			AC136957,AF002223		ENST00000692015.1	ENSP00000510634.1	ENSG00000171100.16				HGNC:7448	7448		IPR000387,IPR003595,IPR004182,IPR010569,IPR011993,IPR016130,IPR029021,IPR030564			PF02893,PF06602									
A0A8Q3SHM6	NA			AC008082,AC008120,AC018456,AC069531,AC092923,AC092967,AC110871,AC131158		ENST00000695368.1	ENSP00000511841.1	ENSG00000169760.18	22871			HGNC:14291	14291		IPR000460,IPR002018,IPR019819,IPR029058,IPR051093			PF00135		NP_001352853.1,NP_001352854.1,NP_001352855.1,NP_001352857.1,XP_016861378.1,XP_016861379.1,XP_016861380.1,XP_016861381.1							
A0A8V8TPK6	NA			AC063965,CH471066,KF455271		ENST00000700029.2,ENST00000710393.1	ENSP00000514759.2,ENSP00000518249.1	ENSG00000171862.16,ENSG00000284792.2				HGNC:9588	9588		IPR000387,IPR003595,IPR014020,IPR016130,IPR017361,IPR029021,IPR029023,IPR035892,IPR045101,IPR051281			PF10409,PF22785									
A0A8V8TQ23	NA			AL355816		ENST00000700751.1	ENSP00000515163.1	ENSG00000134255.16	10390			HGNC:24289	24289		IPR000462,IPR014472,IPR043130,IPR048254			PF01066		XP_047285865.1,XP_054189804.1							
A0A8V8TQL1	NA			AL355816		ENST00000700752.1	ENSP00000515164.1	ENSG00000134255.16				HGNC:24289	24289		IPR000462,IPR014472,IPR043130,IPR048254			PF01066									
A0A8V8TQX2	NA			AC063965,KF455271		ENST00000700021.1,ENST00000710390.1	ENSP00000514757.1,ENSP00000518247.1	ENSG00000171862.16,ENSG00000284792.2				HGNC:9588	9588		IPR000387,IPR003595,IPR014020,IPR016130,IPR017361,IPR029021,IPR029023,IPR035892,IPR045101,IPR051281			PF10409,PF22785									
A0A8V8TRF3	NA			AL355816,CH471122		ENST00000700750.1	ENSP00000515162.1	ENSG00000134255.16	10390			HGNC:24289	24289		IPR000462,IPR014472,IPR043130,IPR048254			PF01066		NP_001397773.1,XP_011538798.1,XP_054189803.1							
