Uniprot_ID	KEGG_rno	BRENDA	Complex Portal	EMBL	EcoGene	Ensembl_Transcript	Ensembl_Protein	Ensembl_Gene	Entrez Gene	Enzyme Nomenclature	GenBank	HGNC	HGNC Accession number	HomoloGene	InterPro	KEGG Genes	NCBI Protein	Pfam	Reactome	RefSeq	Rfam	Uniprot-TrEMBL	WikiPathways	Wikidata	miRBase Sequence	miRBase mature sequence	pato
A0A0G2JUC8	NA														IPR001841,IPR013083,IPR024766,IPR051031			PF12678	R-RNO-110314,R-RNO-1170546,R-RNO-1234176,R-RNO-195253,R-RNO-4641258,R-RNO-5610780,R-RNO-5610785,R-RNO-5632684,R-RNO-5658442,R-RNO-5696394,R-RNO-5696395,R-RNO-5696400,R-RNO-6781823,R-RNO-6782135,R-RNO-6782210,R-RNO-68949,R-RNO-8854050,R-RNO-8951664,R-RNO-9020702,R-RNO-9755511,R-RNO-9762114,R-RNO-983168								
A0A0G2JUD6	NA														IPR001752,IPR019821,IPR027417,IPR027640,IPR036961			PF00225									
A0A0G2JUF9	NA								315348						IPR019137			PF09735		NP_001401880.1,XP_008763975.1							
A0A0G2JUG6	NA																										
A0A0G2JUG7	NA			AABR07061428											IPR000904,IPR011993,IPR023394,IPR033742,IPR035999			PF01369,PF16453									
A0A0G2JUI5	NA														IPR011989,IPR016024,IPR021133,IPR024395,IPR034085,IPR048491			PF12348,PF21040,PF21041									
A0A0G2JUK0	NA														IPR001678,IPR023267,IPR023270,IPR029063,IPR049560,IPR057285,IPR057286			PF01189,PF25376,PF25378									
A0A0G2JUY1	NA														IPR000569,IPR001202,IPR024928,IPR035892,IPR035983,IPR036020,IPR050409			PF00397,PF00632									
A0A0G2JV04	NA			AABR07030782					360658						IPR002014,IPR004152,IPR008152,IPR008153,IPR008942,IPR013041,IPR027422,IPR038425,IPR041198,IPR044111,IPR046996			PF00790,PF02883,PF03127,PF18308	R-RNO-8875656	NP_001402615.1,XP_006247781.1							
A0A0G2JV08	NA								688041						IPR019135,IPR057540			PF09733,PF23320		XP_038943573.1							
A0A0G2JV24	NA								445442						IPR000742,IPR000884,IPR001007,IPR001791,IPR001881,IPR003367,IPR008859,IPR013320,IPR017897,IPR028974,IPR036383,IPR048287			PF00090,PF00093,PF02210,PF02412,PF05735	R-RNO-114608,R-RNO-186797,R-RNO-216083,R-RNO-5173214	NP_001385869.1							
A0A0G2JVA1	NA														IPR013087,IPR036236,IPR051497,IPR056438,IPR057448			PF00096,PF23611,PF25491									
A0A0G2JVB8	NA								89830						IPR000731,IPR004766,IPR053958			PF12349		NP_001376185.1							
A0A0G2JVC1	NA								314856						IPR001841,IPR001876,IPR003121,IPR013083,IPR016495,IPR028340,IPR036443,IPR036885,IPR044080			PF00641,PF13920		XP_038935055.1							
A0A0G2JVC4	NA								682147						IPR024810,IPR046903,IPR046906			PF03281,PF20266		XP_001060106.1,XP_038938458.1							
A0A0G2JVD2	rno:301113								301113						IPR002048,IPR002067,IPR011992,IPR018108,IPR018247,IPR023395	rno:301113		PF00153,PF13499		NP_001100343.1							
A0A0G2JVD9	NA								305501						IPR013087,IPR036236,IPR050589			PF00096		XP_006251556.4							
A0A0G2JVH3	NA														IPR007110,IPR013151,IPR013783,IPR036179,IPR050412			PF00047,PF13895									
A0A0G2JVK0	NA								64466						IPR007576			PF04487	R-RNO-8866907,R-RNO-9018519	XP_006257159.1,XP_006257160.1							
A0A0G2JVK6	NA														IPR000536,IPR001723,IPR003074,IPR003075,IPR035500,IPR050234			PF00104									
A0A0G2JVK8	NA														IPR001357,IPR003593,IPR003959,IPR008921,IPR012178,IPR013725,IPR027417,IPR036420,IPR047854			PF00004,PF00533,PF08519,PF25361									
A0A0G2JVL3	NA								688540						IPR000719,IPR000961,IPR001478,IPR008271,IPR011009,IPR015022,IPR023142,IPR036034,IPR037711,IPR041489,IPR050236			PF00069,PF08926,PF17820		XP_008769372.1,XP_063131804.1							
A0A0G2JVQ2	NA								309447						IPR029005,IPR041363			PF01803,PF17916		NP_001424981.1,XP_006231555.1							
A0A0G2JVX7	NA			AABR07070085,AABR07073400											IPR000074,IPR050163			PF01442									
A0A0G2JVY9	rno:114494								114494						IPR004367,IPR006671,IPR013763,IPR032447,IPR036915,IPR039361,IPR046965,IPR048258	rno:114494		PF00134,PF02984,PF16500	R-RNO-1538133,R-RNO-171319,R-RNO-174184,R-RNO-176408,R-RNO-187577,R-RNO-2559582,R-RNO-2559586,R-RNO-5689880,R-RNO-5693607,R-RNO-6804116,R-RNO-6804756,R-RNO-6804757,R-RNO-68911,R-RNO-68949,R-RNO-69017,R-RNO-69273,R-RNO-69478,R-RNO-69563,R-RNO-69656,R-RNO-75035	NP_446154.3							
A0A0G2JVZ6	NA														IPR000413,IPR013517,IPR013519,IPR013649,IPR018184,IPR028994,IPR032695,IPR048285,IPR048286			PF00357,PF01839,PF08441,PF20805,PF20806									
A0A0G2JVZ8	NA								170920						IPR000719,IPR001180,IPR011009,IPR017441,IPR021160,IPR050629			PF00069,PF00780		XP_006239718.2							
A0A0G2JW03	NA																										
A0A0G2JW33	NA														IPR001304,IPR016186,IPR016187,IPR033992,IPR042808			PF00059	R-RNO-5607764								
A0A0G2JW59	NA								140635						IPR000719,IPR001245,IPR001824,IPR003599,IPR007110,IPR008266,IPR011009,IPR013151,IPR013783,IPR017441,IPR020635,IPR036179,IPR050122			PF00047,PF07714	R-RNO-109704,R-RNO-1257604,R-RNO-5673001,R-RNO-6811558,R-RNO-9607240	NP_001402681.1							
A0A0G2JWC7	NA								289992						IPR001849,IPR011993,IPR019748,IPR019749,IPR035963,IPR037837,IPR037843,IPR040790			PF00169,PF00373,PF18124		XP_006251820.1,XP_063130158.1							
A0A0G2JWG8	NA								25665						IPR001696,IPR005821,IPR008053,IPR010526,IPR024583,IPR027359,IPR043203,IPR044564			PF00520,PF06512,PF11933,PF24609		XP_038936828.1							
A0A0G2JWI0	NA														IPR001356,IPR009057,IPR031701			PF00046,PF16878									
A0A0G2JWL3	NA								24592						IPR001251,IPR001936,IPR008936,IPR011993,IPR016024,IPR023152,IPR036865,IPR039360,IPR054071			PF00616,PF13716,PF21877		XP_038941129.1							
A0A0G2JWL5	NA														IPR007604,IPR040167,IPR057520			PF04516,PF25416									
A0A0G2JWP8	NA								360243						IPR001154,IPR001241,IPR002205,IPR003594,IPR006171,IPR012542,IPR013506,IPR013757,IPR013758,IPR013759,IPR013760,IPR014721,IPR018522,IPR020568,IPR031660,IPR034157,IPR036890,IPR050634			PF00204,PF00521,PF01751,PF02518,PF08070,PF16898		NP_001380697.1							
A0A0G2JWT3	NA														IPR006545,IPR028472,IPR038102,IPR042577			PF00702									
A0A0G2JX15	NA								362645						IPR001757,IPR006544,IPR008250,IPR023214,IPR023298,IPR023299,IPR036412,IPR047819,IPR047821			PF00122,PF12409		NP_001424090.1							
A0A0G2JX20	NA								291852						IPR001680,IPR015943,IPR019775,IPR020472,IPR026962,IPR028021,IPR036322			PF00400,PF13925		XP_017456687.1,XP_017456688.1,XP_017456689.1,XP_063133922.1							
A0A0G2JX62	NA														IPR000719,IPR008271,IPR011009,IPR017441,IPR051334			PF00069									
A0A0G2JX93	NA														IPR000980,IPR001217,IPR008967,IPR012345,IPR013799,IPR013800,IPR013801,IPR015988,IPR022752,IPR035859,IPR036535,IPR036860,IPR038295,IPR048988			PF00017,PF01017,PF02864,PF02865,PF12162,PF21354	R-RNO-1059683,R-RNO-1169408,R-RNO-1433557,R-RNO-186763,R-RNO-6785807,R-RNO-877300,R-RNO-877312,R-RNO-8854691,R-RNO-8984722,R-RNO-8985947,R-RNO-9020956,R-RNO-9020958,R-RNO-909733,R-RNO-912694,R-RNO-9833482,R-RNO-9860927								
A0A0G2JX94	NA								300289						IPR009114,IPR024646,IPR051747			PF12240	R-RNO-2028269,R-RNO-9762292	NP_001419809.1,NP_001419810.1,NP_001419811.1,XP_006227566.1,XP_006227567.1,XP_006227568.1,XP_006227569.1,XP_006257484.2							
A0A0G2JXA6	NA														IPR000719,IPR000961,IPR008271,IPR011009,IPR016239,IPR017441,IPR017892,IPR041906			PF00069,PF00433									
A0A0G2JXC5	NA														IPR003034,IPR004018,IPR036361,IPR043451			PF02037,PF02755	R-RNO-3899300,R-RNO-5663220	XP_006226225.1,XP_006242192.1							
A0A0G2JXD7	NA								29414						IPR000719,IPR000961,IPR001849,IPR008271,IPR011009,IPR011993,IPR017441,IPR017892,IPR034675,IPR039026			PF00069,PF00169,PF00433		NP_001416583.1,NP_001416584.1,NP_113763.2							
A0A0G2JXH0	NA																										
A0A0G2JXH1	NA																										
A0A0G2JXL2	NA								100361818						IPR002909,IPR008366,IPR008967,IPR011539,IPR013783,IPR014756,IPR032397,IPR037059			PF00554,PF16179		XP_063133114.1							
A0A0G2JXM1	NA								311163						IPR000225,IPR011989,IPR016024,IPR028435			PF00514	R-RNO-5218920,R-RNO-9762292	XP_006234514.1,XP_006234515.1							
A0A0G2JXN2	NA			AC098750,CH473976					310641						IPR000315,IPR001841,IPR001870,IPR003961,IPR013083,IPR013320,IPR013783,IPR017903,IPR017907,IPR027370,IPR035731,IPR036116,IPR040859,IPR043136,IPR050617			PF00643,PF13445,PF18568		NP_001101161.1,NP_001382034.1,XP_008759392.1							
A0A0G2JXU8	NA			AABR07037830,AABR07037831											IPR001548,IPR031588			PF01401,PF16959									
A0A0G2JXV2	NA														IPR000157,IPR000483,IPR001611,IPR003591,IPR032675,IPR035897,IPR041015			PF00560,PF01582,PF13855,PF17968									
A0A0G2JXX6	NA			AABR07031164											IPR000679,IPR008013,IPR013088,IPR016375,IPR039355			PF00320,PF05349									
A0A0G2JXX8	NA								317674						IPR000539,IPR015526,IPR017981,IPR020067,IPR036790,IPR037441			PF01392,PF01534		NP_776210.2							
A0A0G2JXZ9	NA								29645						IPR000242,IPR000387,IPR003595,IPR003961,IPR013783,IPR016130,IPR029021,IPR036116,IPR041201,IPR050713			PF00041,PF00102,PF18861		NP_058965.2							
A0A0G2JY03	NA														IPR000633,IPR001033,IPR006077,IPR036723			PF01044									
A0A0G2JY48	NA														IPR000719,IPR001090,IPR001245,IPR001426,IPR001660,IPR003961,IPR008266,IPR008979,IPR009030,IPR011009,IPR011641,IPR013761,IPR013783,IPR016257,IPR017441,IPR020635,IPR027936,IPR034238,IPR036116,IPR050449			PF00041,PF00536,PF01404,PF07699,PF07714,PF14575,PF25599									
A0A0G2JYD6	NA														IPR036259,IPR051068												
A0A0G2JYE6	NA																										
A0A0G2JYF7	NA														IPR000633,IPR001033,IPR006077,IPR036723			PF01044	R-RNO-525793	XP_017448033.1							
A0A0G2JYI3	NA								25273						IPR000539,IPR015526,IPR017981,IPR020067,IPR035683,IPR036790,IPR041771			PF01392,PF01534		NP_036939.2							
A0A0G2JYN5	NA														IPR004166,IPR005821,IPR011009,IPR029601,IPR032415,IPR037162,IPR041491,IPR050927,IPR057366			PF00520,PF02816,PF16519,PF18139,PF25508									
A0A0G2JYR2	NA																										
A0A0G2JYX9	NA								363520						IPR000488,IPR000719,IPR008271,IPR011009,IPR011029,IPR017441,IPR035533			PF00069,PF00531	R-RNO-1257604,R-RNO-209543,R-RNO-209560,R-RNO-450302,R-RNO-450321,R-RNO-6811558,R-RNO-9020702,R-RNO-937039,R-RNO-975144	XP_006229660.1							
A0A0G2JZ47	NA														IPR001523,IPR009057,IPR022130,IPR036388,IPR043182,IPR043565			PF00292,PF12403									
A0A0G2JZ52	NA														IPR001870,IPR003034,IPR003877,IPR013320,IPR027417,IPR035778,IPR036361,IPR043136			PF00622,PF02037,PF13671		XP_006250373.1							
A0A0G2JZ56	NA																										
A0A0G2JZ79	NA			AABR07044925											IPR003000,IPR026590,IPR026591,IPR029035,IPR050134			PF02146	R-RNO-3371453,R-RNO-427359,R-RNO-9617629,R-RNO-9841922,R-RNO-9856649								
A0A0G2JZA1	NA														IPR003598,IPR003599,IPR003961,IPR007110,IPR013098,IPR013106,IPR013783,IPR036116,IPR036179,IPR051170			PF00041,PF07679,PF13927									
A0A0G2JZE2	NA			AABR07053180											IPR001356,IPR001523,IPR009057,IPR017970,IPR036388,IPR043565			PF00046,PF00292									
A0A0G2JZG4	NA														IPR000014,IPR009110,IPR010011,IPR011598,IPR013767,IPR014920,IPR014935,IPR017426,IPR028819,IPR035965,IPR036638,IPR037077,IPR056193			PF00989,PF07469,PF08815,PF08832,PF14598,PF16665,PF23172									
A0A0G2JZL6	NA								312651						IPR001680,IPR015943,IPR036322,IPR039857,IPR056152,IPR056153,IPR056838,IPR057411			PF23377,PF23381,PF25143,PF25144,PF25295	R-RNO-5610787,R-RNO-5620924	XP_006237129.1							
A0A0G2JZM5	NA								361798						IPR001214,IPR002110,IPR007728,IPR036770,IPR038034,IPR043550,IPR046341,IPR047762			PF00023,PF00856,PF05033,PF12796,PF21533		XP_006256020.1							
A0A0G2JZV3	NA								290986						IPR000834,IPR011989,IPR016024,IPR033852,IPR040626,IPR050821			PF00246,PF18027,PF25571		XP_038951389.1							
A0A0G2JZW9	NA																										
A0A0G2JZY6	NA														IPR001589,IPR001715,IPR002017,IPR016343,IPR018159,IPR036872			PF00307,PF00435									
A0A0G2K052	NA														IPR007632,IPR032394,IPR049452			PF04547,PF16178									
A0A0G2K082	NA														IPR000286,IPR023696,IPR023801,IPR024643,IPR037138,IPR046949			PF00850,PF12203									
A0A0G2K095	NA														IPR000299,IPR000798,IPR008954,IPR011174,IPR011259,IPR011993,IPR014352,IPR018979,IPR018980,IPR019747,IPR019748,IPR019749,IPR029071,IPR035963,IPR041789,IPR046810			PF00373,PF00769,PF09379,PF09380,PF20492									
A0A0G2K0D4	NA								24890						IPR000536,IPR001292,IPR001628,IPR001723,IPR013088,IPR024178,IPR024736,IPR035500,IPR046944,IPR050200			PF00104,PF00105,PF02159,PF12743		XP_017444286.1							
A0A0G2K0H3	NA								312781						IPR000033,IPR000742,IPR002172,IPR011042,IPR017049,IPR023415,IPR036055,IPR050778			PF00057,PF00058,PF14670	R-RNO-3772470,R-RNO-4641262,R-RNO-4641263	NP_001388749.1,XP_017448147.1							
A0A0G2K0I6	NA																										
A0A0G2K0J4	NA														IPR011989,IPR016024,IPR024986,IPR026003,IPR033031			PF12765,PF12830									
A0A0G2K0P1	NA								289168						IPR000225,IPR008658,IPR011989,IPR016024			PF05804	R-RNO-2132295,R-RNO-5620924,R-RNO-6811434,R-RNO-983189	XP_038946417.1							
A0A0G2K0X0	NA								363521						IPR000872,IPR002123			PF01553	R-RNO-1482798	XP_038955846.1,XP_038955847.1							
A0A0G2K0X4	NA														IPR001806,IPR003578,IPR005225,IPR027417			PF00071									
A0A0G2K105	NA														IPR000008,IPR000569,IPR001202,IPR024928,IPR035892,IPR035983,IPR036020,IPR050409			PF00168,PF00397,PF00632									
A0A0G2K118	NA																										
A0A0G2K134	NA																										
A0A0G2K151	NA														IPR000074,IPR050163			PF01442									
A0A0G2K157	NA																										
A0A0G2K163	NA														IPR000242,IPR000387,IPR000980,IPR003595,IPR012152,IPR016130,IPR029021,IPR036860,IPR052123			PF00017,PF00102									
A0A0G2K184	NA														IPR004687,IPR018396,IPR051115			PF03821									
A0A0G2K1B6	NA								81524						IPR000647,IPR003619,IPR019548,IPR019739,IPR020604			PF00859,PF03165,PF10524		XP_006255370.1,XP_063134373.1							
A0A0G2K1C6	NA			AABR07026361											IPR001965,IPR002717,IPR005818,IPR011011,IPR013083,IPR016181,IPR019787,IPR036388,IPR036390,IPR040706,IPR048589,IPR050603			PF00628,PF01853,PF17772,PF21524									
A0A0G2K1E2	NA														IPR000413,IPR013517,IPR013519,IPR013649,IPR018184,IPR028994,IPR032695,IPR048285,IPR048286			PF01839,PF08441,PF20805,PF20806	R-RNO-1566948,R-RNO-1566977,R-RNO-202733,R-RNO-216083,R-RNO-445144,R-RNO-9634597,R-RNO-9860927								
A0A0G2K1F2	NA								116719						IPR000089,IPR005479,IPR005481,IPR005482,IPR011053,IPR011054,IPR011761,IPR011762,IPR011763,IPR011764,IPR013537,IPR013815,IPR016185,IPR029045,IPR034733,IPR049074,IPR049076			PF00289,PF00364,PF01039,PF02785,PF02786,PF08326,PF21385	R-RNO-196780,R-RNO-200425	XP_017453735.1,XP_063127085.1							
A0A0G2K1L0	NA								116640						IPR000742,IPR002181,IPR003961,IPR013111,IPR013783,IPR014716,IPR036056,IPR036116,IPR041161,IPR050991			PF00041,PF00147,PF07974,PF18720,PF23106,PF25024		XP_008761978.1							
A0A0G2K1M2	NA								25252						IPR001452,IPR001478,IPR004172,IPR008144,IPR008145,IPR015143,IPR016313,IPR019583,IPR019590,IPR020590,IPR027417,IPR036028,IPR036034,IPR036892,IPR050614			PF00018,PF00595,PF00625,PF09058,PF10600,PF10608		XP_038943932.1							
A0A0G2K1M7	NA																										
A0A0G2K1Q8	NA			AC098526,AC103090					302973						IPR003439,IPR003593,IPR013525,IPR017871,IPR026082,IPR027417,IPR056264			PF00005,PF12698,PF23321	R-RNO-1369062,R-RNO-5683826	NP_001382963.1,XP_001054650.1,XP_006220652.1,XP_006246101.1,XP_038943008.1,XP_063124987.1,XP_220219.6							
A0A0G2K210	NA								84489						IPR000719,IPR001245,IPR003598,IPR003599,IPR007110,IPR008266,IPR011009,IPR013098,IPR013783,IPR016248,IPR017441,IPR020635,IPR036179,IPR050122			PF07679,PF07714,PF21165	R-RNO-109704,R-RNO-1257604,R-RNO-190371,R-RNO-190372,R-RNO-5654227,R-RNO-5654704,R-RNO-5654706,R-RNO-5654710,R-RNO-5654732,R-RNO-5673001,R-RNO-6811558	XP_006251454.1							
A0A0G2K212	NA																										
A0A0G2K249	NA			AABR07027428											IPR000719,IPR008271,IPR011009,IPR044092,IPR050494			PF00069									
A0A0G2K2A5	NA		CPX-8962												IPR001578,IPR017390,IPR033837,IPR036959,IPR038765,IPR041507			PF01088,PF18031	R-RNO-5689603								
A0A0G2K2C0	NA														IPR001356,IPR009057,IPR031701			PF00046,PF16878									
A0A0G2K2C7	NA								363445						IPR001394,IPR016024,IPR018200,IPR021905,IPR028889,IPR038765,IPR050164,IPR055176,IPR056850			PF00443,PF12030,PF22900,PF25010		NP_001421196.1							
A0A0G2K2H0	NA								308444						IPR000719,IPR001245,IPR003599,IPR003961,IPR007110,IPR008266,IPR011009,IPR013783,IPR017441,IPR020635,IPR036116,IPR036179,IPR050122			PF00041,PF07714,PF13927		NP_001013165.2							
A0A0G2K2H4	NA			LC489990					498013						IPR000719,IPR008271,IPR010513,IPR011009,IPR011047,IPR015943,IPR018391,IPR038357,IPR045133			PF00069,PF06479	R-RNO-381070	XP_006247696.1							
A0A0G2K2I0	NA																										
A0A0G2K2M3	NA														IPR000980,IPR001217,IPR008967,IPR012345,IPR013799,IPR013800,IPR013801,IPR015988,IPR028187,IPR035857,IPR036535,IPR036860,IPR048988			PF00017,PF01017,PF02864,PF02865,PF14596,PF21354	R-RNO-186763,R-RNO-3249367,R-RNO-6785807								
A0A0G2K2P5	NA			AABR07004128,AABR07004129					292994						IPR000906,IPR001452,IPR001478,IPR005417,IPR005418,IPR008144,IPR008145,IPR027417,IPR035597,IPR036028,IPR036034			PF00595,PF00625,PF00791,PF07653	R-RNO-191650,R-RNO-2028269,R-RNO-351906	XP_063140420.1							
A0A0G2K2Y2	NA								317420						IPR000719,IPR008271,IPR011009,IPR024678,IPR050588,IPR056865			PF00069,PF12202,PF24889		XP_063136129.1							
A0A0G2K2Z2	NA														IPR000300,IPR036691,IPR041611,IPR046985			PF17751,PF22669	R-RNO-1660499								
A0A0G2K309	NA			AABR07026379,CH473970					306574						IPR018108,IPR023395,IPR050567			PF00153	R-RNO-70635	XP_006253412.1,XP_006253413.1,XP_006253414.1,XP_038950516.1							
A0A0G2K363	NA																										
A0A0G2K366	NA														IPR000719,IPR000961,IPR008271,IPR011009,IPR016239,IPR017441,IPR017892			PF00069,PF00433									
