Uniprot_ID	KEGG_sce	BRENDA	Complex Portal	EMBL	EcoGene	Ensembl_Transcript	Ensembl_Protein	Ensembl_Gene	Entrez Gene	Enzyme Nomenclature	GenBank	HGNC	HGNC Accession number	HomoloGene	InterPro	KEGG Genes	NCBI Protein	Pfam	Reactome	RefSeq	Rfam	Uniprot-TrEMBL	WikiPathways	Wikidata	miRBase Sequence	miRBase mature sequence	pato
A0A0B4KF86	dme:Dmel_CG3615			AE013599					36821						IPR007241	dme:Dmel_CG3615		PF04109	R-DME-1632852,R-DME-5205685	NP_001261023.1							
A0A0B4KFE4	NA			AE013599					46068						IPR000873,IPR020845,IPR042099,IPR045851			PF00501	R-DME-434313,R-DME-75876	NP_001260810.1							
A0A0B4KFL3	dme:Dmel_CG10229			AE014297					53566						IPR003593,IPR003959,IPR003960,IPR015415,IPR027417,IPR028596,IPR041569,IPR048611,IPR048612,IPR050304	dme:Dmel_CG10229		PF00004,PF09336,PF17862,PF21126		NP_001262276.1							
A0A0B4KFN0	NA			AE014297					41406						IPR003228,IPR009072,IPR037794			PF03847		NP_001262479.1,NP_731617.2							
A0A0B4KFU0	NA			AE013599					36442						IPR000095,IPR000719,IPR001245,IPR001452,IPR008266,IPR011009,IPR017441,IPR020635,IPR036028,IPR049587,IPR050198,IPR055175			PF00786,PF07714,PF22931		NP_001260935.1							
A0A0B4KFW0	dme:Dmel_CG11228			AE013599					37247						IPR000719,IPR011009,IPR011524,IPR017441,IPR024205,IPR036674,IPR050629	dme:Dmel_CG11228		PF00069,PF11629		NP_001261092.1,NP_611427.1							
A0A0B4KFY0	dme:Dmel_CG12489			AE013599					37575						IPR000299,IPR001841,IPR011993,IPR013083,IPR014352,IPR018979,IPR018980,IPR019748,IPR019749,IPR029071,IPR035963,IPR041790	dme:Dmel_CG12489		PF00373,PF09379,PF13920	R-DME-8866427,R-DME-983168	NP_001261137.1							
A0A0B4KG59	NA			AE014297					41772						IPR000333,IPR000472,IPR000719,IPR008271,IPR011009,IPR045860			PF00069,PF01064	R-DME-1502540,R-DME-201451,R-DME-2173788,R-DME-2173789,R-DME-2173791,R-DME-9839389	NP_001262575.1							
A0A0B4KGD0	dme:Dmel_CG5393			AE013599					37734						IPR028002	dme:Dmel_CG5393		PF13873		NP_001261153.1							
A0A0B4KGE1	NA			AE014297					42428						IPR000980,IPR001217,IPR008967,IPR012345,IPR013799,IPR013800,IPR013801,IPR015988,IPR036535,IPR036860,IPR048988			PF00017,PF01017,PF02864,PF02865,PF21354		NP_001262760.1							
A0A0B4KGG8	NA			AE014297					48971						IPR001757,IPR004014,IPR005775,IPR006068,IPR008250,IPR018303,IPR023214,IPR023298,IPR023299,IPR036412,IPR044492,IPR050510			PF00122,PF00689,PF00690,PF00702,PF13246		NP_001262790.1,NP_001262791.1,NP_732573.1,NP_732574.1,NP_996250.1							
A0A0B4KGI7	NA			AE014297					42428						IPR000980,IPR001217,IPR008967,IPR012345,IPR013799,IPR013800,IPR013801,IPR015988,IPR036535,IPR036860,IPR048988			PF00017,PF01017,PF02864,PF02865,PF21354		NP_001262759.1							
A0A0B4KGN1	NA			AE014297					41709						IPR001766,IPR030456,IPR036388,IPR036390			PF00250		NP_001262557.1,NP_650330.3							
A0A0B4KGS4	dme:Dmel_CG14895			AE014297					41995						IPR000095,IPR000719,IPR008271,IPR011009,IPR017441,IPR033923,IPR036936,IPR051931	dme:Dmel_CG14895		PF00069,PF00786	R-DME-202433,R-DME-2871796,R-DME-389359,R-DME-3928664,R-DME-399954,R-DME-4420097,R-DME-5218920,R-DME-5621575,R-DME-5627123,R-DME-5687128,R-DME-9013149,R-DME-9013404,R-DME-9013406,R-DME-9013407,R-DME-9013408,R-DME-9013420,R-DME-9013423,R-DME-9013424	NP_001262638.1							
A0A0B4KGX7	dme:Dmel_CG7719			AE014297					45969						IPR000719,IPR000961,IPR008271,IPR011009,IPR050236	dme:Dmel_CG7719		PF00069		NP_001262713.1							
A0A0B4KGY6	dme:Dmel_CG42670			AE014297,AF220420,AF220421,AF220422,AF220423,AY089247					44258						IPR004087,IPR004088,IPR036612,IPR047274,IPR047275,IPR047276	dme:Dmel_CG42670		PF00013		NP_001036691.1,NP_001036692.1,NP_001036695.1,NP_001036697.1,NP_001189199.1,NP_001189200.1,NP_001189201.1,NP_001189202.1,NP_001189203.1,NP_001262414.1,NP_001262415.1,NP_001287252.1,NP_001287253.1,NP_731351.3,NP_731352.3,NP_731354.1,NP_731355.1,NP_731356.1							
A0A0B4KH10	NA			AE014297					42428						IPR000980,IPR001217,IPR008967,IPR012345,IPR013800,IPR013801,IPR015988,IPR036860,IPR048988			PF00017,PF01017,PF02864,PF21354		NP_001262758.1,NP_001262761.1							
A0A0B4KH16	NA			AE014297					42447						IPR000719,IPR001611,IPR002110,IPR003591,IPR008271,IPR011009,IPR011047,IPR017441,IPR020859,IPR027417,IPR032171,IPR032675,IPR036770,IPR056602			PF00023,PF00069,PF08477,PF12796,PF13855,PF16095,PF23748		NP_001262771.1							
A0A0B4KH25	dme:Dmel_CG5499			AE014297					43229						IPR002119,IPR007125,IPR009072,IPR032454,IPR032458	dme:Dmel_CG5499		PF00125,PF16211		NP_001262997.1,NP_524519.1							
A0A0B4KH64	NA			AE014297					43331						IPR018545,IPR028544			PF09405	R-DME-159236,R-DME-72163,R-DME-72187,R-DME-73856,R-DME-975957	NP_001263028.1							
A0A0B4KHB9	NA			AE014297					42169						IPR002554,IPR011989,IPR016024			PF01603		NP_001262695.1							
A0A0B4KHF0	NA			AE014297					44965						IPR001519,IPR008331,IPR009040,IPR009078,IPR012347			PF00210	R-DME-6798695,R-DME-917937	NP_001263106.1							
A0A0B4KHH7	dme:Dmel_CG13645	2.7.7.1,2.7.7.18		AE014297,AY089411,BT030750					42987						IPR004821,IPR005248,IPR014729,IPR045094,IPR051182	dme:Dmel_CG13645		PF01467	R-DME-196807	NP_651315.2							
A0A0B4KHL4	NA			AE014297					49701						IPR000719,IPR008271,IPR011009,IPR017441,IPR022247,IPR050235			PF00069,PF12605	R-DME-1660661	NP_001262624.1							
A0A0B4KHP7	NA			AE014297					42169						IPR002554,IPR011989,IPR016024			PF01603		NP_001262694.1							
A0A0B4KHS6	NA			AE014297					42428						IPR000980,IPR001217,IPR008967,IPR012345,IPR013800,IPR013801,IPR015988,IPR036860,IPR048988			PF00017,PF01017,PF02864,PF21354		NP_001014643.1,NP_001262757.1							
A0A0B4KHS7	dme:Dmel_CG4257			AE014297					42428						IPR000980,IPR001217,IPR008967,IPR012345,IPR013799,IPR013800,IPR013801,IPR015988,IPR036535,IPR036860,IPR048988	dme:Dmel_CG4257		PF00017,PF01017,PF02864,PF02865,PF21354		NP_001262762.1,NP_996243.1							
A0A0B4KHT3	NA			AE014297					42447						IPR000719,IPR001611,IPR002110,IPR003591,IPR008271,IPR011009,IPR011047,IPR017441,IPR020859,IPR027417,IPR032171,IPR032675,IPR036770,IPR056602			PF00023,PF00069,PF08477,PF12796,PF13855,PF16095,PF23748		NP_001262772.1							
A0A0B4KHX3	dme:Dmel_CG2048			AE014297					43673						IPR000719,IPR008271,IPR011009,IPR017441,IPR050235	dme:Dmel_CG2048		PF00069		NP_001263132.1,NP_001356928.1,NP_524602.1,NP_733414.1,NP_733415.1							
A0A0B4KHX7	NA			AE014297					43709						IPR000719,IPR006575,IPR008271,IPR011009,IPR016135,IPR016255,IPR017441,IPR045864,IPR050339			PF00069,PF05773		NP_001263142.1							
A0A0B4KI27	NA			AE014297					46415						IPR001519,IPR008331,IPR009040,IPR009078,IPR012347			PF00210	R-DME-6798695,R-DME-917937	NP_001263104.1							
A0A0B4KI54	dme:Dmel_CG1395			AE014297					43466						IPR000751,IPR001763,IPR036873	dme:Dmel_CG1395		PF00581		NP_001263066.1,NP_524547.1							
A0A0B4LEI8	NA			AE013599					35950						IPR000008,IPR000719,IPR000961,IPR008271,IPR011009,IPR011072,IPR017441,IPR017892,IPR035892,IPR036274,IPR037313			PF00069,PF00433,PF02185		NP_001286243.1							
A0A0B4LEY0	dme:Dmel_CG8024			AE013599					35940						IPR001806,IPR005225,IPR027417,IPR030697	dme:Dmel_CG8024		PF00071		NP_001286237.1,NP_001286238.1							
A0A0B4LEY5	NA			AE013599					35950						IPR000008,IPR000719,IPR000961,IPR008271,IPR011009,IPR011072,IPR017441,IPR017892,IPR035892,IPR036274,IPR037313			PF00069,PF00433,PF02185		NP_001286242.1							
A0A0B4LF03	NA			AE013599					35950						IPR000008,IPR000719,IPR000961,IPR008271,IPR011009,IPR011072,IPR017441,IPR017892,IPR035892,IPR036274,IPR037313			PF00069,PF00433,PF02185		NP_001286244.1							
A0A0B4LFK8	NA			AE013599					36993						IPR000999,IPR001650,IPR003100,IPR005034,IPR011545,IPR014001,IPR014720,IPR027417,IPR036389,IPR038248,IPR048512			PF00035,PF00270,PF00271,PF00636,PF02170,PF03368,PF20931		NP_001286540.1							
A0A0B4LFQ3	NA			AE013599					37203						IPR000719,IPR001180,IPR011009,IPR017441,IPR021160,IPR050629			PF00069,PF00780		NP_001286606.1							
A0A0B4LFV0	NA			AE013599					37203						IPR000719,IPR001180,IPR011009,IPR017441,IPR021160,IPR050629			PF00069,PF00780		NP_001286605.1							
A0A0B4LFW1	NA			AE013599					37152						IPR000719,IPR001772,IPR008271,IPR011009,IPR017441,IPR028375,IPR055511,IPR057380			PF00069,PF23311,PF23312		NP_001286587.1							
A0A0B4LFX2	NA			AE013599					35950						IPR000008,IPR000719,IPR000961,IPR008271,IPR011009,IPR011072,IPR017441,IPR017892,IPR035892,IPR036274,IPR037313			PF00069,PF00433,PF02185		NP_001286241.1							
A0A0B4LFY9	dme:Dmel_CG1667			AE013599,BT015254					36016						IPR029158,IPR033952,IPR038623,IPR055432,IPR055434	dme:Dmel_CG1667		PF15009,PF23417	R-DME-1834941,R-DME-3134975,R-DME-3249367,R-DME-6798695	NP_001286256.1,NP_610525.4							
A0A0B4LFZ4	NA			AE013599					36040						IPR003338,IPR003593,IPR003959,IPR003960,IPR004201,IPR005938,IPR009010,IPR015415,IPR027417,IPR029067,IPR041569,IPR050168			PF00004,PF02359,PF02933,PF09336,PF17862		NP_001286261.1							
A0A0B4LGB7	NA			AE013599					49297						IPR001757,IPR004014,IPR005782,IPR006068,IPR008250,IPR018303,IPR023214,IPR023298,IPR023299,IPR036412,IPR044492			PF00122,PF00689,PF00690,PF00702,PF13246		NP_001286796.1							
A0A0B4LGH1	NA			AE013599					37888						IPR000217,IPR002453,IPR003008,IPR008280,IPR013838,IPR017975,IPR018316,IPR023123,IPR036525,IPR037103			PF00091,PF03953		NP_001286835.1							
A0A0B4LGI1	NA			AE013599					37805						IPR000367,IPR001019,IPR011025,IPR027417			PF00503		NP_001286798.1,NP_477506.1,NP_726388.1							
A0A0B4LGU9	NA			AE014297					40813						IPR001487,IPR009067,IPR011177,IPR018359,IPR022591,IPR036427,IPR036741,IPR040240,IPR041670			PF00439,PF09247,PF12157,PF15288		NP_001287201.1							
A0A0B4LGY8	dme:Dmel_CG7097			AE013599					37203						IPR000719,IPR001180,IPR011009,IPR017441,IPR021160,IPR050629	dme:Dmel_CG7097		PF00069,PF00780		NP_001286604.1							
A0A0B4LGZ3	dme:Dmel_CG6235			AE014297					47877						IPR000009,IPR001680,IPR015943,IPR018067,IPR036322	dme:Dmel_CG6235		PF00400		NP_001287269.1,NP_476880.1,NP_731451.1							
A0A0B4LHJ5	NA			AE014297					42846						IPR003593,IPR003959,IPR003960,IPR007330,IPR015415,IPR017179,IPR027417,IPR036181,IPR041569,IPR050304			PF00004,PF09336,PF17862		NP_001262896.1,NP_001287494.1							
A0A0B4LHX7	dme:Dmel_CG7850			AE014297					40958						IPR000340,IPR000387,IPR016130,IPR020422,IPR029021	dme:Dmel_CG7850		PF00782		NP_001287223.1							
A0A0B4LI86	dme:Dmel_CG3180			AE014297					41721						IPR007120,IPR007121,IPR007641,IPR007642,IPR007644,IPR007645,IPR007646,IPR007647,IPR014724,IPR015712,IPR037033,IPR037034	dme:Dmel_CG3180		PF00562,PF04560,PF04561,PF04563,PF04565,PF04566,PF04567		NP_001287323.1,NP_476706.1							
A0A0B4LIA3	NA			AE014297					41957						IPR000719,IPR000961,IPR001849,IPR008271,IPR011009,IPR011993,IPR017441,IPR017892,IPR039026			PF00069,PF00169,PF00433		NP_001287353.1,NP_001287354.1,NP_732114.1,NP_732115.1							
A0A0B7P9G0	dme:Dmel_CG42595			AE013599					5740320						IPR000595,IPR000644,IPR002550,IPR014710,IPR018490,IPR044751,IPR045095,IPR046342	dme:Dmel_CG42595		PF01595		NP_001104390.2,NP_001104391.2,NP_001263162.1,NP_001288144.1							
A0A0C4DHF6	NA		CPX-2420	AE013599					36773						IPR006644,IPR008465,IPR013783,IPR015919,IPR027468,IPR030398			PF05345,PF05454	R-DME-3000178,R-DME-5173105,R-DME-9010553,R-DME-9913351	NP_788363.1							
A0A0U1QT59	dme:Dmel_CG46121			AE014296					26067066						IPR012496,IPR038900	dme:Dmel_CG46121		PF07810		NP_001246698.1,NP_001303362.1							
A0A126GUP6	dme:Dmel_CG1102			AE014297,AF145611,BT125977					40541						IPR001254,IPR001314,IPR009003,IPR018114,IPR022700,IPR033116,IPR038565,IPR043504,IPR051487	dme:Dmel_CG1102		PF00089,PF12032		NP_001138002.1,NP_001303421.1,NP_649450.3							
A0A126GUT4	NA			AE014297					41709						IPR001766,IPR030456,IPR036388,IPR036390			PF00250		NP_001303426.1							
A0A126GUV7	dme:Dmel_CG7693			AE014297					44233						IPR000719,IPR011009,IPR017441,IPR024678,IPR050629	dme:Dmel_CG7693		PF00069,PF12202		NP_001138077.1,NP_001138078.1,NP_001138079.1,NP_001287395.1,NP_001303449.2,NP_001303450.1,NP_477308.1,NP_732352.1							
A0A126GV10	NA			AE014297					42846						IPR003593,IPR003959,IPR003960,IPR007330,IPR015415,IPR017179,IPR027417,IPR036181,IPR041569,IPR050304			PF00004,PF09336,PF17862		NP_001303438.1							
A0A126GV13	NA			AE014297					42846						IPR003593,IPR003959,IPR003960,IPR007330,IPR015415,IPR017179,IPR027417,IPR036181,IPR041569,IPR050304			PF00004,PF09336,PF17862		NP_001303437.1							
A0A1F4	dme:Dmel_CG33955			AE014134,AY119566,BK003285,DQ780942,DQ991915					3771890						IPR000152,IPR000742,IPR001791,IPR001881,IPR013032,IPR013320,IPR018097,IPR051022	dme:Dmel_CG33955		PF00008,PF02210,PF12661		NP_001027571.3,NP_001259924.2							
A0A4D6K293	NA			AE014298					44289						IPR004843,IPR006186,IPR029052,IPR031675,IPR050341			PF00149,PF16891		NP_001356939.1							
A0A4D6K3W6	NA			AE014298					43873						IPR000644,IPR001093,IPR005990,IPR013785,IPR015875,IPR046342			PF00478,PF00571		NP_001356940.1							
A0A4D6K823	NA			AE014296					38890						IPR000719,IPR003527,IPR008271,IPR011009,IPR017441,IPR050117			PF00069	R-DME-4086398	NP_001356976.1							
A0A6H2EEQ6	NA			AE014298					32256						IPR000719,IPR008271,IPR011009,IPR017441,IPR052468			PF00069		NP_001368982.1							
A0A6H2EEY2	NA			AE014297					42059						IPR001132,IPR003619,IPR008984,IPR013019,IPR013790,IPR017855,IPR036578			PF03165,PF03166	R-DME-201451,R-DME-2173788,R-DME-2173796,R-DME-5689880	NP_001369021.1							
A0A6H2EF36	NA			AE014298					32256						IPR000719,IPR008271,IPR011009,IPR017441,IPR052468			PF00069		NP_001368981.1							
A0T1Z4	dme:Dmel_CG9764			AE014297,EF078694					41656						IPR000299,IPR000798,IPR011993,IPR014352,IPR014847,IPR018979,IPR018980,IPR019747,IPR019748,IPR019749,IPR029071,IPR035963	dme:Dmel_CG9764		PF00373,PF08736,PF09379,PF09380		NP_001138044.1							
A0T1Z5	NA			AE014297,EF078695					41656						IPR000299,IPR000798,IPR011993,IPR014352,IPR014847,IPR018979,IPR018980,IPR019747,IPR019748,IPR019749,IPR029071,IPR035963			PF00373,PF08736,PF09379,PF09380		NP_001138045.1							
A1A703	dme:Dmel_CG17299			AE014297,BT029676,BT029715					42515						IPR000644,IPR046342,IPR050511	dme:Dmel_CG17299		PF00571		NP_001036736.2,NP_001097854.1,NP_001097855.1							
A1Z6E0	dme:Dmel_CG2944			AE013599,AY119609,BT089043,BT099916,BT126146					35478						IPR001496,IPR001870,IPR003877,IPR013320,IPR036036,IPR043136,IPR050672	dme:Dmel_CG2944		PF00622,PF07525	R-DME-8951664,R-DME-983168	NP_001246140.1,NP_610158.3,NP_724398.2,NP_724399.2,NP_724400.2,NP_724401.2,NP_724402.2							
A1Z6H7	dme:Dmel_CG7897		CPX-2568	AE013599,AF322889,BT011113					35512						IPR008964,IPR045197,IPR055096,IPR055097,IPR055098,IPR055099,IPR056897,IPR056898,IPR056899	dme:Dmel_CG7897		PF22962,PF22963,PF22967,PF22969,PF24902,PF24935,PF24991,PF25354	R-DME-159227,R-DME-159230,R-DME-159231,R-DME-159236,R-DME-3108214,R-DME-3301854,R-DME-4085377,R-DME-4551638,R-DME-4615885,R-DME-5578749	NP_001260714.1,NP_610184.2							
A1Z6I7	dme:Dmel_CG7838			AE013599					35522						IPR000719,IPR008271,IPR011009,IPR013212,IPR015661,IPR017441	dme:Dmel_CG7838		PF00069,PF08311	R-DME-141430,R-DME-174184,R-DME-176409,R-DME-179409	NP_477382.1							
A1Z6I9	NA			AE013599					35524						IPR000719,IPR000980,IPR001245,IPR008266,IPR011009,IPR017441,IPR020635,IPR036860,IPR050198			PF00017,PF07714		NP_610191.2							
A1Z6S7	dme:Dmel_CG3572			AE013599,AF034421,AY069865,BT004891,BT044558,BT125966					35609						IPR000225,IPR011989,IPR016024,IPR040144	dme:Dmel_CG3572				NP_477305.1,NP_995767.1							
A1Z6W3	dme:Dmel_CG11084			AE013599,AJ243708,AJ243709,AJ243710					45343						IPR001781,IPR010442,IPR033723,IPR033725,IPR033726,IPR033727,IPR047120	dme:Dmel_CG11084		PF00412,PF06297	R-DME-350368,R-DME-350369,R-DME-350376,R-DME-350411,R-DME-350480,R-DME-450728,R-DME-4608870	NP_724534.1,NP_724535.1,NP_724538.1							
A1Z7A8	dme:Dmel_CG8710			AE013599,AY060878,AY118690,BT050478					35785						IPR031722	dme:Dmel_CG8710		PF15862		NP_001014505.1,NP_001014506.1							
A1Z7G7	dme:Dmel_CG8639			AE013599,AY095097,BT014917					35846						IPR000203,IPR000832,IPR000922,IPR017981,IPR032471,IPR036445,IPR043159,IPR046338,IPR057244	dme:Dmel_CG8639		PF00002,PF01825,PF02140,PF16489	R-DME-373080,R-DME-6798695	NP_001137620.1,NP_001246205.1,NP_610397.4							
A1Z7H2	NA			AE013599					46068						IPR000873,IPR020845,IPR042099,IPR045851			PF00501		NP_001014512.1							
A1Z7H3	dme:Dmel_CG8732			AE013599					46068						IPR000873,IPR020845,IPR042099,IPR045851	dme:Dmel_CG8732		PF00501		NP_001014507.1,NP_001014509.1,NP_001014510.1,NP_724696.1							
A1Z7K9	dme:Dmel_CG8232			AE013599,BT031142					35893						IPR012337,IPR013520,IPR015943,IPR028881,IPR028889,IPR030843,IPR036322,IPR036397,IPR038765,IPR048841,IPR050785	dme:Dmel_CG8232		PF00929,PF13423,PF20770		NP_610427.2							
A1Z7L8	NA			AE013599					35900						IPR000333,IPR000472,IPR000719,IPR001245,IPR003605,IPR008271,IPR011009,IPR017441,IPR045860			PF01064,PF07714,PF08515	R-DME-1502540,R-DME-2173788,R-DME-2173789,R-DME-2173791,R-DME-5689880	NP_476999.1							
A1Z7L9	NA			AE013599					35900						IPR000333,IPR000472,IPR000719,IPR001245,IPR003605,IPR008271,IPR011009,IPR017441,IPR045860			PF01064,PF07714,PF08515		NP_477000.1							
A1Z7N9	NA			AE013599,BT150320					35922						IPR009539			PF06638		NP_477177.1							
A1Z7R6	dme:Dmel_CG8046			AE013599,BT150192					35936						IPR011701,IPR036259	dme:Dmel_CG8046		PF07690	R-DME-196757,R-DME-917937,R-DME-9707616	NP_610465.2,NP_724761.1							
A1Z7S1	NA			AE013599,BT083449					35940						IPR001806,IPR005225,IPR027417,IPR030697			PF00071		NP_724763.1							
A1Z7S2	NA			AE013599					35940						IPR001806,IPR005225,IPR027417,IPR030697			PF00071		NP_724768.3							
A1Z7T0	dme:Dmel_CG2049			AE013599,BT099631,BT099751					35950						IPR000008,IPR000719,IPR000961,IPR008271,IPR011009,IPR011072,IPR017441,IPR017892,IPR035892,IPR036274,IPR037313	dme:Dmel_CG2049		PF00069,PF00433,PF02185	R-DME-5625740,R-DME-5625886,R-DME-8980692,R-DME-9013026,R-DME-9013149,R-DME-9856530	NP_001246220.1,NP_788290.1							
A1Z7T1	NA			AE013599,BT133091					35950						IPR000008,IPR000719,IPR000961,IPR008271,IPR011009,IPR011072,IPR017441,IPR017892,IPR035892,IPR036274,IPR037313			PF00069,PF00433,PF02185		NP_788291.1							
A1Z7T2	NA			AE013599					35950						IPR000008,IPR000719,IPR000961,IPR008271,IPR011009,IPR011072,IPR017441,IPR017892,IPR035892,IPR036274,IPR037313			PF00069,PF00433,PF02185		NP_788292.1							
A1Z7T3	NA			AE013599					35950						IPR000008,IPR000719,IPR000961,IPR008271,IPR011009,IPR011072,IPR017441,IPR017892,IPR035892,IPR036274,IPR037313			PF00069,PF00433,PF02185		NP_788293.2							
A1Z7Z9	dme:Dmel_CG1625			AE013599					36010						IPR030465	dme:Dmel_CG1625				NP_610519.2							
A1Z877	dme:Dmel_CG12908			AE013599,BT031149,BT053751					36089						IPR000033,IPR000152,IPR000742,IPR001881,IPR003886,IPR006605,IPR009017,IPR009030,IPR011042,IPR018097,IPR024731,IPR049883,IPR050778	dme:Dmel_CG12908		PF00058,PF06119,PF07474,PF07645,PF12947		NP_610575.1,NP_995796.2							
A1Z8D0	dme:Dmel_CG6751			AE013599,AY075465,BT044570					36150						IPR001680,IPR015943,IPR019775,IPR036322,IPR044285	dme:Dmel_CG6751		PF00400		NP_610623.1							
A1Z8N1	dme:Dmel_CG30035			AB369552,AB369553,AE013599,BT003466,BT010286					36248						IPR003663,IPR005828,IPR005829,IPR020846,IPR036259,IPR044775,IPR050549	dme:Dmel_CG30035		PF00083	R-DME-189200	NP_610693.1,NP_725068.1							
