Uniprot_ID	KEGG_sce	BRENDA	Complex Portal	EMBL	EcoGene	Ensembl_Transcript	Ensembl_Protein	Ensembl_Gene	Entrez Gene	Enzyme Nomenclature	GenBank	HGNC	HGNC Accession number	HomoloGene	InterPro	KEGG Genes	NCBI Protein	Pfam	Reactome	RefSeq	Rfam	Uniprot-TrEMBL	WikiPathways	Wikidata	miRBase Sequence	miRBase mature sequence	pato
P00163	sce:Q0105		CPX-567	AH001282,KP263414,V00696,X84042					854583						IPR005797,IPR005798,IPR016174,IPR027387,IPR030689,IPR036150,IPR048259,IPR048260	sce:Q0105		PF00032,PF00033	R-SCE-611105,R-SCE-9865878	NP_009315.1							
P00175	sce:YML054C	1.1.2.3		BK006946,X03215,Z46729					854950						IPR000262,IPR001199,IPR008259,IPR013785,IPR018506,IPR036400,IPR037396,IPR037458	sce:YML054C		PF00173,PF01070		NP_013658.1							
P00330	sce:YOL086C	1.1.1.1		BK006948,M38456,V01291,V01292,X83121,Z74828					854068						IPR002328,IPR011032,IPR013149,IPR013154,IPR020843,IPR036291	sce:YOL086C		PF00107,PF08240		NP_014555.1							
P00331	sce:YMR303C	1.1.1.1		BK006946,J01314,M38457,Z49212					855349						IPR002328,IPR011032,IPR013149,IPR013154,IPR020843,IPR036291	sce:YMR303C		PF00107,PF08240		NP_014032.1							
P00358	sce:YJR009C			BK006943,V01301,X60157,X87611,Z49509					853465						IPR006424,IPR020828,IPR020829,IPR020830,IPR020831,IPR036291	sce:YJR009C		PF00044,PF02800	R-SCE-70171,R-SCE-70263	NP_012542.1							
P00359	sce:YGR192C	1.2.1.12		AY557831,BK006941,J01324,V01300,X82408,Z72977					853106						IPR006424,IPR020828,IPR020829,IPR020830,IPR020831,IPR036291	sce:YGR192C		PF00044,PF02800	R-SCE-70171,R-SCE-70263	NP_011708.3							
P00360	sce:YJL052W			AY693001,BK006943,V01302,Z49327					853395						IPR006424,IPR020828,IPR020829,IPR020830,IPR020831,IPR036291	sce:YJL052W		PF00044,PF02800	R-SCE-70171,R-SCE-70263	NP_012483.3							
P00401	sce:Q0045		CPX-1721,CPX-1722	KP263414,V00694,X14910					854598						IPR000883,IPR023615,IPR023616,IPR033944,IPR036927	sce:Q0045		PF00115	R-SCE-9837999	NP_009305.1							
P00410	sce:Q0250		CPX-1721,CPX-1722	D55725,J05007,K02200,KP263414,L36888,V00685,V00706					854622						IPR001505,IPR002429,IPR008972,IPR011759,IPR014222,IPR034210,IPR036257,IPR045187	sce:Q0250		PF00116,PF02790		NP_009326.1							
P00420	sce:Q0275		CPX-1721,CPX-1722	AH001284,KP263414,L36890					24573142,854627						IPR000298,IPR013833,IPR024791,IPR033945,IPR035973	sce:Q0275		PF00510		NP_009328.1,YP_009144713.1							
P00445	sce:YJR104C		CPX-2267,CPX-2896	AY558073,AY690619,BK006943,J03279,Z49604					853568						IPR001424,IPR018152,IPR024134,IPR036423	sce:YJR104C		PF00080	R-SCE-114608,R-SCE-3299685	NP_012638.1							
P00546	sce:YBR160W	2.7.11.22	CPX-1699,CPX-1700,CPX-1701,CPX-1702,CPX-335,CPX-336,CPX-337,CPX-339,CPX-342	BK006936,X00257,X80224,Z36029					852457						IPR000719,IPR008271,IPR011009,IPR017441,IPR050108	sce:YBR160W		PF00069	R-SCE-176187,R-SCE-68962	NP_009718.3							
P00549	sce:YAL038W		CPX-9181	AY693107,AY949862,AY949863,AY949864,AY949865,AY949866,AY949867,AY949868,AY949869,AY949870,AY949871,AY949872,AY949873,AY949874,AY949875,AY949876,AY949877,AY949878,AY949879,AY949880,AY949881,AY949882,AY949883,AY949884,AY949885,AY949886,AY949887,AY949888,AY949889,AY949890,BK006935,U12980,V01321,X14400					851193						IPR001697,IPR011037,IPR015793,IPR015795,IPR015806,IPR015813,IPR018209,IPR036918,IPR040442	sce:YAL038W		PF00224,PF02887	R-SCE-6798695,R-SCE-70171,R-SCE-70268,R-SCE-9861718	NP_009362.1							
P00560	sce:YCR012W	2.7.2.3		AH001380,BK006937,J01342,X59720					850370						IPR001576,IPR015824,IPR015911,IPR036043	sce:YCR012W		PF00162	R-SCE-70171,R-SCE-70263	NP_009938.2							
P00572	sce:YJR057W			AH003625,BK006943,K01783,K02116,L47993,Z49557					853520						IPR018094,IPR018095,IPR027417,IPR039430	sce:YJR057W		PF02223	R-SCE-499943	NP_012591.1							
P00635	sce:YBR093C			BK006936,V01320,X01079,X01080,X78993,Z35962					852390						IPR000560,IPR016274,IPR029033,IPR033379	sce:YBR093C		PF00328		NP_009651.3							
P00724	sce:YIL162W	3.2.1.26		BK006942,K03294,M13627,U19781,V01311,Z46921					854644						IPR001362,IPR013148,IPR013189,IPR013320,IPR018053,IPR023296	sce:YIL162W		PF00251,PF08244		NP_012104.1							
P00729	sce:YMR297W	3.4.16.5		BK006946,M15482,X80836					855343						IPR001563,IPR008442,IPR018202,IPR029058,IPR033124	sce:YMR297W		PF00450,PF05388		NP_014026.1							
P00812	sce:YPL111W		CPX-1707	BK006949,M10110,M10414,U43503					855993						IPR006035,IPR014033,IPR020855,IPR023696	sce:YPL111W		PF00491	R-SCE-6798695,R-SCE-70635,R-SCE-9837999	NP_015214.1							
P00815	sce:YCL030C			BK006937,M11491,M11492,M11694,M11695,M11696,V01309,V01310,X59720					850327						IPR001692,IPR002496,IPR008179,IPR012131,IPR016161,IPR016298,IPR021130,IPR038019	sce:YCL030C		PF00815,PF01502,PF01503		NP_009900.2							
P00817	sce:YBR011C	3.6.1.1		AY692953,BK006936,X13253,Z35880					852296						IPR008162,IPR036649	sce:YBR011C		PF00719	R-SCE-379716,R-SCE-379726,R-SCE-71737	NP_009565.1							
P00854	sce:Q0085		CPX-3281	AH001280,KP263414,V00683,X05056					854601						IPR000568,IPR023011,IPR035908,IPR045083	sce:Q0085		PF00119	R-SCE-9837999	NP_009313.1							
P00924	sce:YGR254W	4.2.1.11		BK006941,J01322,X99228,Z73039					853169						IPR000941,IPR020809,IPR020810,IPR020811,IPR029017,IPR036849	sce:YGR254W		PF00113,PF03952	R-SCE-70171,R-SCE-70263	NP_011770.3							
P00925	sce:YHR174W	4.2.1.11		BK006934,J01323,U00027					856579						IPR000941,IPR020809,IPR020810,IPR020811,IPR029017,IPR036849	sce:YHR174W		PF00113,PF03952	R-SCE-70171,R-SCE-70263	NP_012044.1							
P00937	sce:YKL211C		CPX-1850	BK006944,K01386,M36300,X75951,Z28211					853669						IPR001468,IPR006221,IPR011060,IPR013785,IPR013798,IPR017926,IPR029062,IPR050472	sce:YKL211C		PF00117,PF00218		NP_012711.1							
P00942	sce:YDR050C	5.3.1.1		AY557654,BK006938,J01366,Z49209					851620						IPR000652,IPR013785,IPR020861,IPR022896,IPR035990	sce:YDR050C		PF00121	R-SCE-70171,R-SCE-70263	NP_010335.1							
P00950	sce:YKL152C	5.4.2.11		BK006944,S57976,X06408,X58789,Z26877,Z28152					853705						IPR001345,IPR005952,IPR013078,IPR029033	sce:YKL152C		PF00300		NP_012770.1							
P01094	sce:YMR174C			AY558120,BK006946,X60050,Z49808					855212						IPR008956,IPR019507	sce:YMR174C		PF10466		NP_013899.1							
P01119	sce:YOR101W			BK006948,K01970,U32307,X00527,X94335,Z75009					854268						IPR001806,IPR005225,IPR020849,IPR027417	sce:YOR101W		PF00071		NP_014744.1							
P01120	sce:YNL098C			BK006947,D37950,DQ115393,K01971,X00528,Z50161,Z71374					855625						IPR001806,IPR005225,IPR020849,IPR027417	sce:YNL098C		PF00071	R-SCE-9696273	NP_014301.1							
P01123	sce:YFL038C			AY558467,BK006940,D50617,X00209					850505						IPR001806,IPR005225,IPR027417,IPR050227	sce:YFL038C		PF00071	R-SCE-162658,R-SCE-204005,R-SCE-6807878,R-SCE-6811434,R-SCE-8873719,R-SCE-8876198	NP_116615.1							
P02293	sce:YDR224C		CPX-1611,CPX-1612,CPX-1613	AY557724,BK006938,J01327,M37743,U13239,Z48612					851810						IPR000558,IPR007125,IPR009072,IPR055333	sce:YDR224C		PF00125	R-SCE-2299718,R-SCE-2559580,R-SCE-3214815,R-SCE-3214847,R-SCE-427359,R-SCE-5625886,R-SCE-5689880,R-SCE-5693565,R-SCE-68616,R-SCE-73772,R-SCE-9018519	NP_010510.3							
P02294	sce:YBL002W		CPX-1610,CPX-1614,CPX-2566	AY693063,BK006936,V01308,Z26494,Z35763					852284						IPR000558,IPR007125,IPR009072,IPR055333	sce:YBL002W		PF00125	R-SCE-2299718,R-SCE-2559580,R-SCE-3214815,R-SCE-3214847,R-SCE-427359,R-SCE-5625886,R-SCE-5689880,R-SCE-5693565,R-SCE-68616,R-SCE-73772,R-SCE-9018519	NP_009553.1							
P02309	sce:YNL030W		CPX-1101,CPX-1610,CPX-1611,CPX-1612,CPX-1613,CPX-1614,CPX-2566	AY692960,BK006936,BK006947,K03154,X00724,X00725,Z35878,Z71306					852294,855701						IPR001951,IPR009072,IPR019809,IPR035425	sce:YBR009C,sce:YNL030W		PF15511	R-SCE-2299718,R-SCE-2559580,R-SCE-3214815,R-SCE-3214847,R-SCE-3214858,R-SCE-427359,R-SCE-4551638,R-SCE-5625886,R-SCE-5693565,R-SCE-68616,R-SCE-73772,R-SCE-9018519	NP_009563.1,NP_014368.1							
P02400	sce:YDR382W		CPX-1601	BK006938,J03761,M26505,U28373,U32274					851990						IPR027534,IPR038716,IPR044076	sce:YDR382W		PF00428		NP_010670.3							
P02406	sce:YGL103W		CPX-1601	BK006941,M19490,X01573,Z72625					852775						IPR001196,IPR021131,IPR030878,IPR036227	sce:YGL103W		PF00828	R-SCE-156827,R-SCE-1799339,R-SCE-72689,R-SCE-72706,R-SCE-975956,R-SCE-975957	NP_011412.1							
P02557	sce:YFL037W		CPX-1424,CPX-1425	BK006940,D50617,V01296,X00209					850506						IPR000217,IPR002453,IPR003008,IPR008280,IPR013838,IPR017975,IPR018316,IPR023123,IPR036525,IPR037103	sce:YFL037W		PF00091,PF03953		NP_116616.1							
P02829	sce:YPL240C	3.6.4.10	CPX-1276	BK006949,K01387,Z67751,Z73596					855836						IPR001404,IPR019805,IPR020568,IPR020575,IPR036890,IPR037196	sce:YPL240C		PF00183,PF13589	R-SCE-1474151,R-SCE-203615,R-SCE-3371497,R-SCE-3371511,R-SCE-3371571,R-SCE-5218920,R-SCE-6798695,R-SCE-844456,R-SCE-9009391	NP_015084.1							
P02994	sce:YPR080W		CPX-2854,CPX-425	AF402004,AY130810,AY130811,AY130812,AY130813,AY692927,BK006936,BK006949,M10992,M15666,M15667,U51033,X00779,X01638,X73532,X78993,Z35987					852415,856195						IPR000795,IPR004161,IPR004539,IPR009000,IPR009001,IPR027417,IPR031157,IPR050100,IPR054696	sce:YBR118W,sce:YPR080W		PF00009,PF03144,PF22594	R-SCE-156842,R-SCE-3371511,R-SCE-6798695,R-SCE-8876725	NP_009676.1,NP_015405.1							
P03069	sce:YEL009C			AF416613,AJ585686,AJ585687,AJ585688,AJ585689,AJ585690,AJ585691,AJ585692,AJ585693,AJ585694,AJ585695,AJ585696,AJ585697,AJ585698,AJ585699,AJ585700,AJ585701,AJ585702,AJ585703,AJ585704,BK006939,K02205,K02649,U18530					856709						IPR004827,IPR046347,IPR050946	sce:YEL009C		PF07716	R-SCE-2559580,R-SCE-2871796,R-SCE-450341	NP_010907.3							
P03870	NA			J01347											IPR005626,IPR011010,IPR013762,IPR022647			PF03930,PF05202									
P03871	NA			J01347,M31942,X55437											IPR008897			PF05797									
P03873	sce:Q0110			AH001282,KP263414,V00696,X95974					854604						IPR004860,IPR005797,IPR016174,IPR027387,IPR027434,IPR048259	sce:Q0110		PF00033,PF03161		NP_009318.1							
P03877	sce:Q0060			KP263414,U00801,V00694					854595						IPR000883,IPR004860,IPR023616,IPR027434,IPR036927,IPR051289	sce:Q0060		PF00115,PF00961		NP_009308.2							
P03878	sce:Q0065			KP263414,S76641,V00694,V00703					854596						IPR000883,IPR004860,IPR023616,IPR027434,IPR036927	sce:Q0065		PF00115,PF00961		NP_009307.2							
P03879	sce:Q0120		CPX-1314	KP263414,S76640,V00696					854582						IPR004860,IPR005797,IPR016174,IPR027387,IPR027434,IPR048259	sce:Q0120		PF00033,PF00961	R-SCE-611105	NP_009316.1							
P03962	sce:YEL021W	4.1.1.23		BK006939,K02206,K02207,M12926,U18530,U63018,U89671,U89927,X00191					856692						IPR001754,IPR011060,IPR013785,IPR014732,IPR018089	sce:YEL021W		PF00215		NP_010893.3							
P03965	sce:YJR109C		CPX-579	BK006943,K01178,Z49609					853573						IPR005479,IPR005480,IPR005483,IPR006275,IPR011607,IPR011761,IPR013815,IPR016185,IPR036897,IPR036914	sce:YJR109C		PF02142,PF02786,PF02787	R-SCE-70635	NP_012643.3							
P04050	sce:YDL140C	2.7.7.6	CPX-2662	BK006938,U27182,X03128,X96876,Z74188					851415						IPR000684,IPR000722,IPR006592,IPR007066,IPR007073,IPR007075,IPR007080,IPR007081,IPR007083,IPR038120,IPR038593,IPR042102,IPR044893,IPR045867	sce:YDL140C		PF00623,PF04983,PF04990,PF04992,PF04997,PF04998,PF05000,PF05001	R-SCE-113418,R-SCE-674695,R-SCE-6781823,R-SCE-6782135,R-SCE-6782210,R-SCE-6796648,R-SCE-6807505,R-SCE-72086,R-SCE-72203,R-SCE-73776,R-SCE-73779,R-SCE-75953,R-SCE-76042,R-SCE-77075,R-SCE-9018519	NP_010141.1							
P04051	sce:YOR116C		CPX-2660	BK006948,X03129,X90518,X94335,Z75024					854283						IPR000722,IPR006592,IPR007066,IPR007080,IPR007081,IPR007083,IPR015700,IPR035697,IPR035698,IPR038120,IPR042102,IPR044893	sce:YOR116C		PF00623,PF04983,PF04997,PF04998,PF05000	R-SCE-76066	NP_014759.1							
P04385	sce:YBR020W		CPX-1043	AH001375,BK006936,K02115,X76078,Z35889					852308						IPR000705,IPR006203,IPR006204,IPR006206,IPR013750,IPR014721,IPR019539,IPR019741,IPR020568,IPR036554	sce:YBR020W		PF00288,PF08544,PF10509		NP_009576.1							
P04386	sce:YPL248C		CPX-1044	BK006949,K01486,Z67751,Z73604					855828						IPR001138,IPR005600,IPR007219,IPR036864,IPR046347,IPR051127	sce:YPL248C		PF00172,PF03902,PF04082		NP_015076.1							
P04387	sce:YML051W		CPX-1042,CPX-1043,CPX-1044	BK006946,X01667,Z46729,Z47816					854954						IPR000683,IPR036291,IPR051317,IPR055080	sce:YML051W		PF01408,PF22685		NP_013661.1							
P04397	sce:YBR019C	5.1.3.2		AH001375,BK006936,K02115,M12348,X81324,Z35888					852307						IPR005886,IPR008183,IPR011013,IPR014718,IPR016040,IPR018052,IPR036291,IPR047215	sce:YBR019C		PF01263,PF16363	R-SCE-70370	NP_009575.1							
P04449	sce:YGL031C		CPX-1601	BK006941,EF123140,K02650,Z72553					852852						IPR000988,IPR023442,IPR038630,IPR056366	sce:YGL031C		PF01246	R-SCE-156827,R-SCE-1799339,R-SCE-72689,R-SCE-72706,R-SCE-975956,R-SCE-975957	NP_011484.1							
P04456	sce:YOL127W			BK006948,U41293,X01014,Z74869					853993						IPR001014,IPR005633,IPR012677,IPR012678,IPR013025	sce:YOL127W		PF00276,PF03939	R-SCE-156827,R-SCE-1799339,R-SCE-72689,R-SCE-72706,R-SCE-975956,R-SCE-975957	NP_014514.1							
P04786	sce:YOL006C			BK006948,K03077,Z74748					854156						IPR001631,IPR008336,IPR011010,IPR013030,IPR013034,IPR013499,IPR013500,IPR014711,IPR014727,IPR018521,IPR025834,IPR036202,IPR048045,IPR051062	sce:YOL006C		PF01028,PF02919,PF14370	R-SCE-4615885	NP_014637.1							
P04806	sce:YFR053C	2.7.1.1		BK006940,D50617,M14410,X03482					850614						IPR001312,IPR019807,IPR022672,IPR022673,IPR043129	sce:YFR053C		PF00349,PF03727	R-SCE-170822,R-SCE-446205,R-SCE-6798695,R-SCE-70171	NP_116711.3							
P04807	sce:YGL253W	2.7.1.1		BK006941,M11181,M14411,X03483,X67787,X94357,Z72775					852639						IPR001312,IPR019807,IPR022672,IPR022673,IPR043129	sce:YGL253W		PF00349,PF03727	R-SCE-170822,R-SCE-446205,R-SCE-6798695,R-SCE-70171	NP_011261.1							
P04817	sce:YEL063C			BK006939,M11724,U18795,X03784					856646						IPR004762,IPR004840,IPR004841,IPR050524	sce:YEL063C		PF00324		NP_010851.1							
P04819	sce:YDL164C			AY723764,BK006938,X03246,X68020,Z67750,Z74212					851391						IPR000977,IPR012308,IPR012309,IPR012310,IPR012340,IPR016059,IPR036599,IPR050191	sce:YDL164C		PF01068,PF04675,PF04679	R-SCE-5358565,R-SCE-5358606,R-SCE-6782210,R-SCE-69183	NP_010117.1							
P04821	sce:YLR310C			BK006945,M15458,U17247,U20618,X03579					851019						IPR000651,IPR001452,IPR001895,IPR008937,IPR019804,IPR023578,IPR036028,IPR036964	sce:YLR310C		PF00018,PF00617,PF00618	R-SCE-354192,R-SCE-381676,R-SCE-392517	NP_013413.1							
P04840	sce:YNL055C			BK006947,M34907,U12141,X02324,Z71331					855669						IPR001925,IPR023614,IPR027246	sce:YNL055C		PF01459	R-SCE-5205685,R-SCE-70268	NP_014343.1							
P04911	sce:YDR225W		CPX-1612,CPX-2566	BK006938,M18455,U13239,V01304,Z48612					851811						IPR002119,IPR007125,IPR009072,IPR032454,IPR032458	sce:YDR225W		PF00125,PF16211	R-SCE-2299718,R-SCE-2559580,R-SCE-3214815,R-SCE-3214858,R-SCE-427359,R-SCE-5625886,R-SCE-5689880,R-SCE-5693565,R-SCE-68616,R-SCE-73772,R-SCE-9018519	NP_010511.3							
P04912	sce:YBL003C		CPX-1610,CPX-1611	AY693115,BK006936,V01305,Z26494,Z35764					852283						IPR002119,IPR007125,IPR009072,IPR032454,IPR032458	sce:YBL003C		PF00125,PF16211	R-SCE-2299718,R-SCE-2559580,R-SCE-3214815,R-SCE-3214858,R-SCE-427359,R-SCE-5625886,R-SCE-5689880,R-SCE-5693565,R-SCE-68616,R-SCE-73772,R-SCE-9018519	NP_009552.1							
P05030	sce:YGL008C	7.1.2.1		BK006941,X03534,Z72530					852876						IPR001757,IPR004014,IPR006534,IPR008250,IPR018303,IPR023214,IPR023298,IPR023299,IPR036412,IPR044492	sce:YGL008C		PF00122,PF00690,PF00702		NP_011507.1							
P05150	sce:YJL088W		CPX-1707	BK006943,M11946,M28301,X83502,Z49363					853357						IPR002292,IPR006130,IPR006131,IPR006132,IPR036901	sce:YJL088W		PF00185,PF02729	R-SCE-1268020,R-SCE-70635	NP_012447.1							
P05317	sce:YLR340W		CPX-1601	BK006945,D00529,M26506,M37326,U19028,X06959,X13328					851052						IPR001790,IPR030670,IPR040637,IPR043141,IPR043164,IPR050323	sce:YLR340W		PF00428,PF00466,PF17777	R-SCE-156827,R-SCE-1799339,R-SCE-72689,R-SCE-72706,R-SCE-975956,R-SCE-975957	NP_013444.1							
P05318	sce:YDL081C		CPX-1601	AY558526,BK006938,D90072,M26504,X06957,X13682,Z74129					851478						IPR027534,IPR038716	sce:YDL081C		PF00428	R-SCE-156827,R-SCE-1799339,R-SCE-72689,R-SCE-72706,R-SCE-975956,R-SCE-975957	NP_010202.1							
P05319	sce:YOL039W		CPX-1601	AY692793,BK006948,J03760,M26503,X06958,Z74781					854118						IPR027534,IPR038716,IPR044076	sce:YOL039W		PF00428	R-SCE-156827,R-SCE-1799339,R-SCE-72689,R-SCE-72706,R-SCE-975956,R-SCE-975957	NP_014603.1							
P05373	sce:YGL040C	4.2.1.24		AY692744,BK006941,J03493,Z72562					852842						IPR001731,IPR013785,IPR030656	sce:YGL040C		PF00490	R-SCE-189451,R-SCE-6798695	NP_011475.1							
P05374	sce:YGR157W			BK006941,M16987,X85807,Z72942					853061						IPR007318,IPR016219	sce:YGR157W		PF04191		NP_011673.1							
P05375	sce:YJR073C			AY557899,BK006943,L47993,M16988,Z49573					853536						IPR007318,IPR024960	sce:YJR073C		PF04191	R-SCE-1483191	NP_012607.1							
P05453	sce:YDR172W		CPX-435	BK006938,M21129,X07163,Y00829,Z46727					851752						IPR000795,IPR003285,IPR004161,IPR009000,IPR009001,IPR027417,IPR031157,IPR050100,IPR054696	sce:YDR172W		PF00009,PF03144,PF22594	R-SCE-72764,R-SCE-975956,R-SCE-975957	NP_010457.3							
P05737	sce:YGL076C		CPX-1601	BK006941,X62627,Z72597,Z72598					852804						IPR005998,IPR012988,IPR016082,IPR018038,IPR035808,IPR036919,IPR039699	sce:YGL076C		PF00327,PF08079	R-SCE-156827,R-SCE-1799339,R-SCE-72689,R-SCE-72706,R-SCE-975956,R-SCE-975957	NP_011439.1							
P05739	sce:YLR448W		CPX-1601	BK006945,D10226,U22382					851169						IPR000915,IPR008991,IPR014722,IPR041997,IPR049633	sce:YLR448W		PF01159	R-SCE-156827,R-SCE-1799339,R-SCE-72689,R-SCE-72706,R-SCE-975956,R-SCE-975957	NP_013553.1							
P05740	sce:YKL180W		CPX-1601	BK006944,X74151,Z28179,Z28180					853674						IPR001063,IPR005721,IPR018260,IPR036394	sce:YKL180W		PF00237	R-SCE-156827,R-SCE-1799339,R-SCE-72689,R-SCE-72706,R-SCE-975956,R-SCE-975957	NP_012741.1							
P05744	sce:YPL143W		CPX-1601	BK006949,U43703,X57969,Z73499					855960						IPR001780,IPR009000,IPR018266,IPR038661	sce:YPL143W		PF01247	R-SCE-156827,R-SCE-1799339,R-SCE-72689,R-SCE-72706,R-SCE-975956,R-SCE-975957	NP_015182.1							
P05745	sce:YMR194W		CPX-1601	BK006946,Z47815					855232						IPR000509,IPR038097	sce:YMR194W		PF01158	R-SCE-156827,R-SCE-1799339,R-SCE-72689,R-SCE-72706,R-SCE-975956,R-SCE-975957	NP_013920.1							
P05748	sce:YLR029C		CPX-1601	BK006945,D14675,Z73201					850716						IPR000439,IPR012678,IPR020925,IPR024794	sce:YLR029C		PF00827	R-SCE-156827,R-SCE-1799339,R-SCE-72689,R-SCE-72706,R-SCE-975956,R-SCE-975957	NP_013129.1							
P05750	sce:YNL178W		CPX-1599	BK006947,D25285,L31405,U34347,Z71454					855543						IPR001351,IPR004044,IPR005703,IPR009019,IPR015946,IPR018280,IPR036419	sce:YNL178W		PF00189,PF07650	R-SCE-156827,R-SCE-1799339,R-SCE-72649,R-SCE-72689,R-SCE-72695,R-SCE-72702,R-SCE-72706,R-SCE-975956,R-SCE-975957	NP_014221.3							
P05755	sce:YBR189W		CPX-1599	BK006936,M88650,U02073,Z36058					852487						IPR001912,IPR002942,IPR005710,IPR018079,IPR022801,IPR036986	sce:YBR189W		PF00163,PF01479	R-SCE-156827,R-SCE-1799339,R-SCE-6791226,R-SCE-72649,R-SCE-72689,R-SCE-72695,R-SCE-72702,R-SCE-72706,R-SCE-975956,R-SCE-975957	NP_009748.3							
P05756	sce:YDR064W		CPX-1599	BK006938,X84162,Z49209,Z74360					851636						IPR000589,IPR009068,IPR012606,IPR023029	sce:YDR064W		PF00312,PF08069	R-SCE-156827,R-SCE-1799339,R-SCE-72649,R-SCE-72689,R-SCE-72695,R-SCE-72702,R-SCE-72706,R-SCE-975956,R-SCE-975957	NP_010349.3							
P05759	sce:YLR167W		CPX-1599	BK006945,U17246,X05730					850864						IPR000626,IPR002906,IPR011332,IPR019954,IPR019956,IPR029071,IPR038582,IPR050158	sce:YLR167W		PF00240,PF01599	R-SCE-156827,R-SCE-1799339,R-SCE-72649,R-SCE-72689,R-SCE-72695,R-SCE-72702,R-SCE-72706,R-SCE-975956,R-SCE-975957	NP_013268.1							
P05986	sce:YKL166C	2.7.11.11	CPX-571,CPX-573,CPX-574	BK006944,M17074,M81697,Z26878,Z28166					853688						IPR000719,IPR000961,IPR008271,IPR011009,IPR017441	sce:YKL166C		PF00069	R-SCE-163615,R-SCE-164378,R-SCE-180024,R-SCE-432040,R-SCE-442720,R-SCE-5610787,R-SCE-9634597,R-SCE-983231,R-SCE-9856530	NP_012755.1							
P06100	sce:YDL165W		CPX-1800	AY557644,BK006938,X03246,X04287,X68020,Z67750,Z74213					851389						IPR007282,IPR038635,IPR040168	sce:YDL165W		PF04153		NP_010116.1							
P06101	sce:YDR168W			BK006938,X04288,Z47813					851746						IPR004918,IPR013855,IPR013873,IPR013874,IPR038189	sce:YDR168W		PF03234,PF08564,PF08565	R-SCE-114608	NP_010452.1							
P06102	sce:YIL038C		CPX-1800	AY692897,BK006942,X04289,Z46861					854773						IPR007207,IPR007282,IPR012270,IPR038635,IPR040168	sce:YIL038C		PF04065,PF04153		NP_012226.3							
