Uniprot_ID	KEGG_Gene_ID	BRENDA	Complex Portal	EMBL	EcoGene	Ensembl_Transcript	Ensembl_Protein	Ensembl_Gene	Entrez Gene	Enzyme Nomenclature	GenBank	HGNC	HGNC Accession number	HomoloGene	InterPro	KEGG Genes	NCBI Protein	Pfam	Reactome	RefSeq	Rfam	Uniprot-TrEMBL	WikiPathways	Wikidata	miRBase Sequence	miRBase mature sequence	pato
A0A0R4J0A9	mmu:16974								16974						IPR000033,IPR000742,IPR002172,IPR011042,IPR017049,IPR023415,IPR036055,IPR050778	mmu:16974		PF00057,PF00058,PF14670		NP_032540.2							
A0A0R4J0B3	mmu:22241								22241						IPR000719,IPR008271,IPR011009,IPR016237,IPR017441,IPR022708,IPR045269,IPR048941	mmu:22241		PF00069,PF12063,PF21127		NP_033495.2							
A0A0R4J0B6	mmu:26357								26357						IPR003439,IPR003593,IPR013525,IPR027417,IPR043926,IPR050352	mmu:26357		PF00005,PF01061,PF19055		NP_001342406.1,NP_001368854.1,NP_001368855.1,NP_001368856.1,NP_036050.1,XP_006506211.1,XP_006506212.1,XP_006506213.1,XP_006506214.1,XP_011239664.1,XP_030111259.1,XP_030111260.1							
A0A0R4J0N8	mmu:12767								12767						IPR000276,IPR000355,IPR001277,IPR017452,IPR022726,IPR050119	mmu:12767		PF00001,PF12109		NP_034041.2							
A0A0R4J0P2	mmu:14841								14841						IPR000719,IPR011009,IPR017441,IPR024604	mmu:14841		PF12330		NP_034483.1							
A0A0R4J104	mmu:13132								13132						IPR006020,IPR011993,IPR048559,IPR048561	mmu:13132		PF00640,PF21792		NP_075607.2,XP_011243626.1,XP_017171913.1							
A0A0R4J115	mmu:20897								20897						IPR026612	mmu:20897		PF14752		NP_001155947.1,NP_001155948.1,NP_001155951.1,NP_033317.2,XP_006511004.2,XP_006511006.1,XP_006511007.1,XP_006511008.1,XP_006511009.1,XP_030100040.1							
A0A0R4J136	mmu:78925								78925						IPR001104,IPR016636,IPR039357	mmu:78925		PF02544		NP_780492.2							
A0A0R4J1M7	NA								20271						IPR001696,IPR005821,IPR008053,IPR010526,IPR024583,IPR027359,IPR043203,IPR044564			PF00520,PF06512,PF11933,PF24609		NP_067519.2							
A0A0U1RNJ1	NA														IPR001031,IPR001227,IPR006162,IPR009081,IPR011032,IPR013217,IPR013968,IPR014030,IPR014031,IPR014043,IPR016035,IPR016036,IPR016039,IPR018201,IPR020806,IPR020807,IPR020841,IPR020843,IPR029058,IPR029063,IPR032821,IPR036291,IPR036736,IPR042104,IPR049391,IPR049552,IPR049900,IPR050091,IPR057326			PF00109,PF00550,PF00698,PF00975,PF02801,PF08242,PF08659,PF13602,PF16197,PF21089,PF21149									
A0A0U1RNR0	NA														IPR002168,IPR010468,IPR013094,IPR029058			PF06350,PF07859									
A0A0U1RPR8	mmu:14918			AC111084,AC115069					14918						IPR000719,IPR001054,IPR001245,IPR001828,IPR011009,IPR018297,IPR028082,IPR029787,IPR050401	mmu:14918		PF00211,PF01094,PF07714		NP_001124165.1							
A0A140LHU0	NA								11502						IPR000742,IPR001590,IPR001762,IPR002870,IPR006586,IPR018358,IPR024079,IPR034027,IPR036436			PF00200,PF01421,PF01562,PF08516		NP_001257925.1							
A0A140LI88	NA			AC154851,AC174082					625662						IPR002110,IPR036770,IPR040843,IPR042334			PF12796,PF18755		NP_001357857.1,XP_006517860.1,XP_030103201.1							
A0A140LIF8	mmu:54396			AJ007972,AK142291,AK152870,AK153309,AK165347,AK171724,FR734033					54396						IPR007743,IPR027417,IPR030385,IPR051515	mmu:54396		PF05049		NP_001423100.1,NP_062313.3							
A0A1B0GR13	NA			LO016976											IPR026189,IPR029354			PF15241		XP_006528327.1							
A0A1B0GRJ9	NA								207728						IPR002073,IPR003018,IPR003607,IPR023088,IPR023174,IPR029016,IPR036971			PF00233,PF01590,PF13185		NP_001230687.1							
A0A1B0GSQ5	NA								79221						IPR000286,IPR023696,IPR023801,IPR024643,IPR037138,IPR046949			PF00850,PF12203		XP_011242213.1,XP_011242220.1,XP_017170738.1,XP_030102846.1,XP_036013566.1,XP_036013567.1,XP_036013568.1							
A0A1D5RLQ9	NA								226751						IPR000095,IPR000719,IPR000961,IPR001180,IPR001849,IPR002219,IPR008271,IPR011009,IPR011993,IPR014930,IPR017441,IPR017892,IPR026611,IPR031597,IPR046349,IPR050839,IPR057529			PF00069,PF00130,PF00433,PF00780,PF08826,PF15796,PF25346		NP_001346471.1,XP_006496871.1							
A0A1D9BZF0	NA			AL805980,KX981576					115489118						IPR050972					NP_001369163.1							
A0A1L1SQU7	NA								14107						IPR000152,IPR000742,IPR001791,IPR001881,IPR002126,IPR009030,IPR013320,IPR015919,IPR018097,IPR020894,IPR049883			PF00008,PF00028,PF02210,PF07645		XP_006509330.1,XP_006509331.1,XP_011240475.1,XP_030099147.1,XP_030099148.1,XP_036009647.1							
A0A1L1SSL9	mmu:245000								245000						IPR000403,IPR003151,IPR003152,IPR011009,IPR011989,IPR011990,IPR012993,IPR014009,IPR016024,IPR018936,IPR021133,IPR036940,IPR050517,IPR056802,IPR056803,IPR057564	mmu:245000		PF00454,PF02259,PF02260,PF08064,PF23593,PF25030,PF25032		NP_063917.1							
A0A1L1STC6	NA								64009						IPR001589,IPR001715,IPR002017,IPR012315,IPR018159,IPR036872,IPR047290,IPR047291,IPR056887,IPR057057			PF00307,PF00435,PF10541,PF25034,PF25035,PF25803		NP_001334661.1							
A0A1L1SUI3	NA								14385						IPR000849,IPR011701,IPR020846,IPR021159,IPR036259,IPR051337			PF07690	R-MMU-70263	NP_001344658.1,NP_001344659.1,NP_001365758.1,XP_006510073.1,XP_006510074.1,XP_006510075.1							
A0A1L1SUV7	NA														IPR011701,IPR020846,IPR036259,IPR051337			PF07690									
A0A1L1SV42	NA														IPR036259,IPR051337												
A0A1W2P872	mmu:384569			AC153651,AC170864					384569						IPR004087,IPR004088,IPR036612,IPR047274,IPR047275,IPR047276	mmu:384569		PF00013		NP_001025048.2							
A0A1Y7VMN0	NA														IPR000719,IPR000961,IPR001849,IPR002219,IPR008271,IPR011009,IPR011072,IPR011993,IPR015008,IPR017441,IPR029878,IPR037311,IPR046349,IPR050839,IPR057529			PF00069,PF08912,PF25346									
A0A1Y7VMP7	NA								217716						IPR002099,IPR013507,IPR014721,IPR014762,IPR014790,IPR020568,IPR036890,IPR037198,IPR038973,IPR042120,IPR042121			PF08676,PF13589		XP_006515766.1,XP_006515767.1,XP_006515769.1							
A0A1Y7VNZ6	NA								17169						IPR000719,IPR001772,IPR008271,IPR011009,IPR015940,IPR017441,IPR028375,IPR049508			PF00069,PF00627,PF02149		XP_006515575.1							
A0A286YE25	NA								50850						IPR003593,IPR003959,IPR003960,IPR007330,IPR015415,IPR017179,IPR027417,IPR035106,IPR041569,IPR050304			PF00004,PF09336,PF17862		NP_058658.2							
A0A2I3BQE0	NA														IPR000719,IPR011009,IPR011524,IPR017441,IPR024205,IPR036674,IPR050629			PF00069,PF11629									
A0A2R8VHR8	NA			AC144852																							
A0A3B2WC92	NA								50850						IPR003593,IPR003959,IPR003960,IPR007330,IPR015415,IPR017179,IPR027417,IPR041569,IPR050304			PF00004,PF09336,PF17862		NP_001344667.1,XP_006524674.1							
A0A3Q4EGQ9	NA								225028						IPR000719,IPR001180,IPR011009,IPR017441,IPR021160,IPR050629			PF00069,PF00780		XP_006524260.1							
A0A3Q4EGR2	NA														IPR000719,IPR000961,IPR008271,IPR011009,IPR011072,IPR015008,IPR017441,IPR037310,IPR050839			PF00069,PF08912									
A0A494B9E3	NA														IPR002490			PF01496									
A0A494B9X3	NA								76952						IPR008380,IPR016695,IPR023214,IPR036412			PF05761		NP_001157837.1							
A0A494BA31	mmu:240215			AC115631,AC147220					240215						IPR003020,IPR003024,IPR011531,IPR013769,IPR016152	mmu:240215		PF00955,PF07565	R-MMU-425381	NP_001258473.1							
A0A494BAW1	NA								214593						IPR002048,IPR010255,IPR011992,IPR013112,IPR013121,IPR013130,IPR017927,IPR017938,IPR018247,IPR019791,IPR034821,IPR037120,IPR039261,IPR050369			PF00036,PF01794,PF03098,PF08022,PF08030	R-MMU-209968	NP_001349684.1,XP_006499173.1							
A0A494BBH5	NA														IPR001589,IPR001715,IPR036872			PF00307									
A0A494BBP6	NA														IPR008380,IPR016695,IPR023214,IPR036412			PF05761									
A0A571BDN7	NA														IPR000569,IPR001202,IPR035983,IPR036020,IPR050409			PF00397,PF00632									
A0A571BEE2	NA			AL772238					74914						IPR026189,IPR029354			PF15241		NP_001156337.1,NP_001414109.1,NP_001414113.1,XP_017175914.1,XP_017175915.1,XP_017175916.1							
A0A571BG59	NA								81877						IPR000742,IPR002181,IPR003961,IPR013783,IPR014716,IPR020837,IPR036056,IPR036116,IPR041161,IPR050991			PF00041,PF00147,PF18720,PF23106,PF25024		XP_036016748.1							
A0A5F8MP90	NA								18387						IPR000276,IPR000452,IPR001418,IPR017452			PF00001		NP_001305664.1							
A0A5F8MPH8	NA								81877						IPR000742,IPR002181,IPR003961,IPR013783,IPR014716,IPR020837,IPR036056,IPR036116,IPR041161,IPR050991			PF00041,PF00147,PF18720,PF23106,PF25024	R-MMU-3000178	XP_006525249.1							
A0A5F8MPM8	NA														IPR001589,IPR001715,IPR036872			PF00307									
A0A5F8MPU3	NA								73463						IPR031462,IPR048363			PF15729		NP_080876.1,NP_780409.2							
A0A5F8MPX1	NA														IPR001965,IPR002717,IPR005818,IPR011011,IPR013083,IPR016181,IPR019787,IPR036388,IPR036390,IPR040706,IPR048589,IPR050603			PF00628,PF01853,PF17772,PF21524									
A0A5F8MQ39	NA								54169						IPR001965,IPR002717,IPR005818,IPR011011,IPR013083,IPR016181,IPR019787,IPR036388,IPR036390,IPR040706,IPR048589,IPR050603			PF00628,PF01853,PF17772,PF21524		XP_006519326.1,XP_006519327.1,XP_006519328.1,XP_030103747.1,XP_036014649.1							
A0A5K7RLP0	NA			AC145199,LC371381					243866						IPR009071,IPR011598,IPR036638,IPR036910			PF00505		NP_001357740.1,XP_006540527.1,XP_011249055.1							
A0AA74KSS6	NA														IPR002515,IPR002717,IPR016181,IPR036060,IPR036388,IPR040706,IPR050603			PF01530,PF01853,PF17772									
A0AA74KT59	NA														IPR002112,IPR004827,IPR005643,IPR008917,IPR046347,IPR050946			PF00170,PF03957									
A0AUV4	mmu:635895			BC107382,BC125014,BC125267					635895						IPR000719,IPR008271,IPR011009,IPR015940,IPR017441	mmu:635895		PF00069,PF23312		NP_001116449.1							
A0JNT9	mmu:75665			AK036757,AK041990,BC024804,BC126948					75665						IPR051149	mmu:75665				NP_001074277.1							
A0JNU3	mmu:104816	3.1.1.47		BC126962					104816						IPR002110,IPR006033,IPR006034,IPR027473,IPR027474,IPR027475,IPR036152,IPR036770,IPR037152,IPR040919,IPR041725	mmu:104816		PF00710,PF12796,PF17763	R-MMU-8963693	NP_001074638.1							
A1A546	mmu:71597			AK018615,BC128289,BC128290					71597						IPR001356,IPR009057,IPR017970,IPR050649	mmu:71597		PF00046		NP_001281207.1,NP_082113.2							
A1A547	mmu:242100			AC163215,AY518698,BC128291					242100						IPR002502,IPR006619,IPR015510,IPR036505	mmu:242100		PF01510	R-MMU-6803157	NP_997130.2							
A1E960	mmu:69592			AK009298,BC132394,BC132396,EF113909					69592						IPR026802	mmu:69592		PF15424		NP_081404.2,XP_006535273.1							
A1KXC4	mmu:69169			AK007714,AK155943,AY227385,AY227386,AY227387,AY227388,AY227389,AY227390,AY227391,AY227392,AY227393,BC116674,BC118505					69169						IPR013106,IPR013783,IPR036179,IPR050671	mmu:69169		PF07686		NP_081252.1							
A1L314	mmu:17476			BC129843,BC129844,L20315					17476						IPR020864,IPR039707	mmu:17476		PF01823		NP_034951.1							
A1L3C1	mmu:75538			AC149607,BC049752,BC130017					75538						IPR022168	mmu:75538		PF12480		NP_001344579.1,NP_082445.1,XP_006541312.1							
A1L3P4	mmu:236794			AC124584,AK032326,AL672085,BC130221					236794						IPR002090,IPR004709,IPR006153,IPR018422	mmu:236794		PF00999	R-MMU-425986	NP_766368.2							
A1Y9I9	mmu:791260			DQ854743,EU627091					791260						IPR002935,IPR029063	mmu:791260		PF01596	R-MMU-379397	NP_001075148.1,NP_001269017.1,XP_017167892.1							
A1Z198	mmu:637515		CPX-4266	AL662908,AL663042,BC141354,DQ117591,DQ117592,DQ117593,DQ153214,EF158039					637515						IPR001315,IPR001611,IPR007111,IPR011029,IPR025307,IPR027417,IPR032675,IPR033516,IPR041075,IPR041267,IPR051249	mmu:637515		PF00619,PF05729,PF13516,PF13553,PF17776,PF17779,PF23679		NP_001035786.1,NP_001155886.1,XP_017170187.1							
A2A259	mmu:329064			AB290927,AC125101,AF271381,BC116297,BC116323					329064						IPR002048,IPR003915,IPR011992,IPR013122,IPR027359,IPR046791,IPR051223	mmu:329064		PF08016,PF18109,PF20519		NP_852087.2							
A2A432	mmu:72584		CPX-651	AB093259,AK012410,AK032701,AK160998,AL513356,AY330868,BC004026,BC010347,CH466570					72584						IPR001373,IPR016157,IPR016158,IPR016159,IPR019559,IPR036317,IPR036388,IPR036390,IPR045093	mmu:72584		PF00888,PF10557	R-MMU-110314,R-MMU-5696394,R-MMU-5696395,R-MMU-5696400,R-MMU-6781823,R-MMU-6782135,R-MMU-6782210,R-MMU-8951664	NP_001103612.1,NP_082564.3							
A2A5K6	mmu:329559			AK157577,AL591495,BC151013,BC157954					329559						IPR013087,IPR036236,IPR050688	mmu:329559		PF00096,PF13909,PF13912		NP_950192.2							
A2A5N8	mmu:241764		CPX-470	AK220350,AL591584,AL606473,CH466551					241764						IPR001660,IPR002515,IPR004092,IPR013761,IPR036060,IPR047361,IPR047362,IPR050548	mmu:241764		PF00536,PF01530,PF02820	R-MMU-6804760	NP_001074807.1,XP_011237848.1,XP_030107036.1							
A2A5R2	mmu:99371			AL591703,AL591911,BC158012,CH466551					99371						IPR000904,IPR015403,IPR016024,IPR023394,IPR032629,IPR032691,IPR035999,IPR046455	mmu:99371		PF01369,PF09324,PF12783,PF16213,PF20252		NP_001078964.1							
A2A5Z6	mmu:66313	2.3.2.26		AL593847,AY685230,BC138786,BC138788,CH466558					66313						IPR000008,IPR000569,IPR001202,IPR024928,IPR035892,IPR035983,IPR036020,IPR050409	mmu:66313		PF00168,PF00397,PF00632	R-MMU-201451,R-MMU-2173788,R-MMU-2173795,R-MMU-4608870,R-MMU-4641257,R-MMU-5632684,R-MMU-5689880,R-MMU-8941858,R-MMU-983168	NP_079757.2,XP_006533999.1							
A2A6C4	mmu:237958	3.4.23.B24		AK077122,AL596383,BC100418					237958						IPR003137,IPR006639,IPR007369	mmu:237958		PF02225,PF04258		NP_001076004.1,NP_950184.2							
A2A6Q5	mmu:217232			AL603709,BC157955,BC172100,CH466558					217232						IPR011990,IPR019734	mmu:217232		PF00515,PF12895,PF13181	R-MMU-141430,R-MMU-174048,R-MMU-174084,R-MMU-174154,R-MMU-174178,R-MMU-174184,R-MMU-176407,R-MMU-176408,R-MMU-176409,R-MMU-176412,R-MMU-179409,R-MMU-2467813,R-MMU-2559582,R-MMU-68867,R-MMU-69017,R-MMU-983168	NP_001272917.1,NP_663411.2,XP_006533113.1							
A2A7Q9	NA			AL606977,BC052529,BC117807					75234						IPR001841,IPR002867,IPR013083,IPR031127,IPR044066			PF01485,PF22191	R-MMU-983168	NP_001355692.1,XP_006503521.1							
A2A813	NA														IPR002818,IPR006287,IPR029062,IPR050325			PF01965									
A2A815	NA														IPR002818,IPR006287,IPR029062,IPR050325			PF01965									
A2A825	mmu:76166			AL607087					76166						IPR001806,IPR027417,IPR039677	mmu:76166		PF00071		NP_001074643.1							
A2A848	NA														IPR002655,IPR006091,IPR009100,IPR012258,IPR029320,IPR034171,IPR036250,IPR037069,IPR046373,IPR055060			PF01756,PF02770,PF14749,PF22924									
A2A863	NA		CPX-3120	AL607108,AL645647,BC006632,BC025194,BC059192					192897						IPR000742,IPR002369,IPR003644,IPR003961,IPR012013,IPR012896,IPR013783,IPR015812,IPR033760,IPR036116,IPR036349,IPR036465,IPR038081,IPR040622			PF00041,PF00362,PF03160,PF07965,PF17205,PF18372,PF23106	R-MMU-3000157,R-MMU-3000170,R-MMU-446107	NP_001392055.1,XP_006532635.1,XP_006532636.1,XP_006532637.1							
A2A884	mmu:16656			AK173200,AL607142,AY454345,L07911					16656						IPR013087,IPR034729,IPR036236,IPR051969	mmu:16656		PF00096		NP_034787.2,XP_006502878.1,XP_006502879.1,XP_006502880.1,XP_011238754.1,XP_011238755.1,XP_036019642.1							
A2A8L1	NA			AK129145,AL611985					269610						IPR000330,IPR000953,IPR001650,IPR001965,IPR002464,IPR009462,IPR009463,IPR011011,IPR012957,IPR012958,IPR013083,IPR014001,IPR016197,IPR019786,IPR019787,IPR023780,IPR027417,IPR028727,IPR038718,IPR049730			PF00176,PF00271,PF00385,PF00628,PF06461,PF06465,PF08073,PF08074		NP_001356172.1,XP_006538995.1							
A2A8L5	mmu:19268			AF300943,AL626764,AL807774,BC057166					19268						IPR000242,IPR000387,IPR003595,IPR003598,IPR003599,IPR003961,IPR007110,IPR013098,IPR013783,IPR016130,IPR029021,IPR036116,IPR036179,IPR050713	mmu:19268		PF00041,PF00102,PF07679	R-MMU-388844,R-MMU-77387,R-MMU-8849932	NP_035343.2							
A2A8U2	mmu:230917			AK079157,AK153631,AL626808,BC072645					230917						IPR018617,IPR018861,IPR040041	mmu:230917		PF09779,PF10476		NP_001271199.1,NP_001271202.1,NP_808340.2							
A2A935	mmu:70673	2.1.1.367		AB078338,AK173230,AL611950,AL627123,AL627127,AL627226,BC059838					70673						IPR001214,IPR013087,IPR036236,IPR044410,IPR046341,IPR050331	mmu:70673		PF00096,PF21549	R-MMU-3214841	NP_001277955.1,NP_001277958.1,NP_081780.3,XP_006539236.1							
A2A974	mmu:13118			AL627182					13118						IPR001128,IPR002401,IPR017972,IPR036396,IPR050196	mmu:13118		PF00067	R-MMU-211935,R-MMU-211958,R-MMU-211979,R-MMU-2142691,R-MMU-2142816	NP_758510.2							
A2A9A2	mmu:242620			AL627188,AY145837					242620						IPR001275,IPR005173,IPR009060,IPR026607,IPR036407,IPR046472	mmu:242620		PF00751,PF03474,PF20624		NP_758500.2,XP_006503156.1,XP_006503157.1							
A2A9C3	mmu:230676			AL627212,BC052935,BC059842,FJ998170,GU433214					230676						IPR033228	mmu:230676			R-MMU-9639288	NP_937813.3							
A2A9F4	mmu:69073			AK007551,AL627228					69073						IPR028003	mmu:69073		PF15551		NP_001077385.1,NP_598468.2,XP_006539213.1,XP_006539214.1							
A2AA28	mmu:74319			AK003450,AL645542,BC026936					74319						IPR019410,IPR029063	mmu:74319		PF10294		NP_083141.3							
A2AAE1	mmu:229227			AK028716,AK041642,AK052702,AK134811,AK148181,AK173100,AK220265,AL627102,AL645753,AL645759,AL645806,AL662823,AL691425,BC027125,BC034738,BC079623					229227						IPR033616,IPR047104,IPR056741,IPR056742	mmu:229227		PF20413,PF25039,PF25040		NP_766267.2							
A2AAJ9	NA			AY603754,BC044882,BC060226,GL456158											IPR000048,IPR000219,IPR000719,IPR001452,IPR001849,IPR003598,IPR003599,IPR003961,IPR007110,IPR008266,IPR008271,IPR011009,IPR011993,IPR013098,IPR013106,IPR013783,IPR017441,IPR035526,IPR035899,IPR036028,IPR036116,IPR036179,IPR052385,IPR055251			PF00041,PF00069,PF00612,PF00621,PF07679,PF22697	R-MMU-193648,R-MMU-416482,R-MMU-8980692,R-MMU-9013406								
A2AAY5	mmu:268396			AB430861,AK089330,AK171384,AL662780,BC115711,BC115764					268396						IPR001452,IPR001683,IPR035477,IPR035478,IPR035479,IPR035480,IPR036028,IPR036871,IPR037961,IPR051228	mmu:268396		PF00018,PF00787,PF07653		NP_796338.2							
A2ABV5	mmu:26896		CPX-3264	AB019028,AB019029,AK163306,AL662925,BC065072,BX000537					26896						IPR013947,IPR055107,IPR055113,IPR055114,IPR055122,IPR056877,IPR056878,IPR056879	mmu:26896		PF08638,PF22981,PF22983,PF22984,PF25065,PF25067,PF25069		NP_001041673.1,NP_036135.3							
A2AC93	mmu:432611			AL663079,CH466558,EF565270					432611						IPR001680,IPR015943,IPR036322,IPR050687	mmu:432611		PF00400		NP_001030050.2,XP_006533723.1,XP_006533724.1,XP_006533725.1,XP_036012716.1							
A2AD83	mmu:385354			AK032347,AL670230,BC147257,BC147258					385354						IPR000299,IPR011993,IPR014352,IPR014847,IPR018979,IPR018980,IPR019747,IPR019748,IPR019749,IPR029071,IPR035963,IPR041788,IPR051835	mmu:385354		PF00373,PF08736,PF09379,PF09380		NP_001177261.1,XP_006541568.1,XP_006541569.1							
A2AF47	mmu:75974			AB116935,AL672023,AL672038					75974						IPR001849,IPR011993,IPR016024,IPR021816,IPR026791,IPR027007,IPR027357,IPR035892,IPR037809,IPR043161,IPR043162,IPR046769,IPR046770,IPR046773	mmu:75974		PF00169,PF06920,PF11878,PF14429,PF20421,PF20422	R-MMU-9013148,R-MMU-9013149,R-MMU-983231	NP_001009947.2							
A2AG06	mmu:268491			AK131737,AL672269					268491						IPR027963	mmu:268491		PF15189		NP_001121048.1							
A2AG50	mmu:78283			AK019929,AK030316,AK045412,AL672284					78283						IPR008604,IPR051483	mmu:78283		PF05672		NP_001074593.1,NP_001300680.1,NP_001300681.1,NP_001300682.1,XP_030107379.1							
A2AG68	NA								11977						IPR001757,IPR006121,IPR006122,IPR008250,IPR017969,IPR018303,IPR023214,IPR023298,IPR023299,IPR027256,IPR036163,IPR036412,IPR044492			PF00122,PF00403,PF00702		NP_001103227.1							
A2AGH6	mmu:59024		CPX-3266,CPX-3267	AF071310,AK220216,AL683892,BC057085,BC057119					59024						IPR019035,IPR021989,IPR021990,IPR051647	mmu:59024		PF09497,PF12144,PF12145		NP_067496.2							
