Organism_Code	Organism_Name
fsd	Flavobacterium sediminilitoris
flo	Flavobacterium litorale
fcc	Flavobacterium cyclinae
fcb	Flavobacterium channae
fpb	Flavobacterium panici
feh	Flavobacterium enshiense
faz	Flavobacterium azooxidireducens
fbi	Flavobacterium bizetiae
fcs	Flavobacterium collinsii
fao	Flavobacterium ammonificans
fan	Flavobacterium ammoniigenes
fplu	Flavobacterium plurextorum
fhu	Flavobacterium humidisoli
fke	Flavobacterium keumense
fcu	Flavobacterium cerinum
fpec	Flavobacterium pectinovorum
fda	Flavobacterium dauae
fok	Flavobacterium okayamense
fag	Flavobacterium agricola
fav	Flavobacterium acetivorans
fgc	Flavobacterium galactosidilyticum
fdv	Flavobacterium davisii
fcg	Flavobacterium cupriresistens
ffv	Flavobacterium flavipigmentatum
flz	Flavobacterium sp. SLB02
fcj	Flavobacterium capsici
flr	Flavobacterium sp. WV_118_3
fnd	Flavobacterium nakdongensis
flf	Flavobacterium sp. GSB-24
fsf	Flavobacterium soyae
coc	Capnocytophaga ochracea
ccm	Capnocytophaga canimorsus
col	Capnocytophaga sp. oral taxon 323
chg	Capnocytophaga haemolytica
capn	Capnocytophaga endodontalis
cgh	Capnocytophaga gingivalis
clk	Capnocytophaga leadbetteri
cspu	Capnocytophaga sputigena
ccyn	Capnocytophaga cynodegmi
caph	Capnocytophaga sp. H4358
csto	Capnocytophaga stomatis
capq	Capnocytophaga sp. H2931
capf	Capnocytophaga sp. FDAARGOS_737
capo	Capnocytophaga sp. oral taxon 902
rbi	Robiginitalea biformata
zpr	Zunongwangia profunda
cat	Croceibacter atlanticus
fbc	Maribacter sp. HTCC2170
marm	Maribacter sp. 1_2014MBL_MicDiv
mart	Maribacter hydrothermalis
marb	Maribacter cobaltidurans
mare	Maribacter sp. MJ134
mlio	Maribacter litopenaei
cao	Cellulophaga algicola
cly	Cellulophaga lytica DSM 7489
clh	Cellulophaga lytica HI1
cbal	Cellulophaga baltica NN016038
cbat	Cellulophaga baltica 18
comn	Cellulophaga omnivescoria
kdi	Dokdonia sp. 4H-3-7-5
dok	Dokdonia sp. MED134
ddo	Dokdonia donghaensis
dod	Dokdonia sp. Dokd-P16
lan	Lacinutrix sp. 5H-3-7-4
lvn	Lacinutrix venerupis
laci	Lacinutrix sp. Bg11-31
lnu	Lacinutrix neustonica
lacw	Lacinutrix sp. WUR7
zga	Zobellia galactanivorans
zla	Zobellia laminariae
asl	Aequorivita sublithincola
aev	Aequorivita ciconiae
aic	Aequorivita iocasae
aequ	Aequorivita marisscotiae
ptq	Psychroflexus torquis
psyd	Psychroflexus sp. ALD_RP9
ndo	Nonlabens dokdonensis
nom	Nonlabens sp. MIC269
nsd	Nonlabens tegetincola
nob	Nonlabens sp. MB-3u-79
noj	Nonlabens ponticola
nul	Nonlabens ulvanivorans
nmf	Nonlabens marinus
pom	Polaribacter sp. MED152
pob	Polaribacter vadi
prn	Polaribacter reichenbachii
pola	Polaribacter sp. BM10
poa	Polaribacter sp. ALD11
phal	Polaribacter haliotis
plit	Polaribacter litorisediminis
ppec	Polaribacter pectinis
pbat	Polaribacter batillariae
pcea	Polaribacter cellanae
pun	Polaribacter sejongensis
phg	Polaribacter huanghezhanensis
polq	Polaribacter sp. Q13
myr	Myroides sp. A21
mpw	Myroides profundi
mod	Myroides odoratimimus
myz	Myroides sp. ZB35
moa	Myroides odoratus
mals	Myroides albus
mcla	Myroides sp. JBRI-B21084
paae	Paenimyroides aestuarii
win	Winogradskyella sp. PG-2
wij	Winogradskyella sp. J14-2
sze	Siansivirga zeaxanthinifaciens
ahz	Pseudalgibacter alginicilyticus
syi	Sediminicola sp. YIK13
tdi	Tenacibaculum dicentrarchi
ten	Tenacibaculum todarodis
tje	Tenacibaculum jejuense
tmar	Tenacibaculum maritimum
tmp	Tenacibaculum mesophilum
tov	Tenacibaculum ovolyticum
trt	Tenacibaculum retecalamus
tpac	Tenacibaculum pacificus
tfi	Tenacibaculum finnmarkense
ttg	Tenacibaculum tangerinum
tsig	Tenacibaculum singaporense
lut	Lutibacter profundi
lul	Urechidicola croceus
wfu	Wenyingzhuangia fucanilytica
for	Formosa sp. Hel1_33_131
foh	Formosa sp. Hel3_A1_48
fop	Formosa sediminum
salt	Salegentibacter sp. T436
smis	Salegentibacter mishustinae
seon	Seonamhaeicola sp. S2-3
aalg	Arenibacter algicola
aanr	Arenibacter antarcticus
oll	Olleya sp. Bg11-27
oaq	Olleya aquimaris
fek	Flavivirga eckloniae
fay	Flavivirga abyssicola
tay	Tamlana sp. s12
taj	Pseudotamlana carrageenivorans
aue	Pukyongia salina
kos	Kordia sp. SMS9
kan	Kordia antarctica
marf	Mariniflexile sp. TRM1-10
mlil	Mariniflexile litorale
aqb	Aquimarina sp. BL5
aqa	Aquimarina sp. AD1
aqd	Aquimarina sp. AD10
aqe	Aquimarina sp. ERC-38
aqr	Aquimarina sp. TRL1
emar	Euzebyella marina
mur	Muriicola soli
psyn	Psychroserpens sp. NJDZ02
ppon	Psychroserpens ponticola
afla	Antarcticibacterium flavum
anp	Antarcticibacterium arcticum
oci	Oceanihabitans sp. IOP_32
mesq	Mesoflavibacter sp. HG96
gaa	Galbibacter sp. BG1
cagg	Costertonia aggregata
alti	Constantimarinum furrinae
marx	Marixanthomonas sp. SCSIO 43207
lpal	Leeuwenhoekiella palythoae
sinh	Sinomicrobium kalidii
asag	Aggregatimonas sangjinii
flg	Flagellimonas sp. HMM57
flb	Flagellimonas sp. CMM7
mrs	Allomuricauda ruestringensis
mlt	Flagellimonas lutaonensis
mut	Flagellimonas oceani
maqi	Flagellimonas marinaquae
spon	Flagellimonas maritima
fld	Flagellimonas sp. MMG031
sabu	Flaviramulus sp. BrNp1-15
zsp	Zhouia spongiae
bia	Bizionia sp. M204
fbe	Aureibaculum algae
fbm	Abyssalbus ytuae
sahn	Salinimicrobium tongyeongense
sazs	Salinimicrobium sp. 3283s
alut	Algibacter luteus
luy	Lutimonas zeaxanthinifaciens
aest	Aestuariibaculum sp. YM273
mang	Mangrovimonas sp. YM274
mcaa	Mangrovimonas cancribranchiae
hws	Hwangdonia lutea
mgel	Rasiella rasia
tsx	Thalassobellus suaedae
fba	Flavobacteriaceae bacterium 3519-10
fbu	Flavobacteriaceae bacterium UJ101
fbq	Flavobacteriaceae bacterium AU392
ran	Riemerella anatipestifer ATCC 11845 = DSM 15868
rai	Riemerella anatipestifer ATCC 11845 = DSM 15868
rar	Riemerella anatipestifer RA-GD
rag	Riemerella anatipestifer RA-CH-1
rae	Riemerella anatipestifer RA-CH-2
rat	Riemerella anatipestifer CH3
rcl	Riemerella columbina
wvi	Weeksella virosa
orh	Ornithobacterium rhinotracheale DSM 15997
ori	Ornithobacterium rhinotracheale ORT-UMN 88
ohm	Candidatus Ornithobacterium hominis
eao	Elizabethkingia anophelis NUHP1
emn	Elizabethkingia anophelis FMS-007
een	Elizabethkingia anophelis JM-87
elb	Elizabethkingia miricola
emg	Elizabethkingia meningoseptica
ego	Elizabethkingia ursingii
egm	Elizabethkingia bruuniana
elz	Elizabethkingia sp. 2-6
elt	Elizabethkingia sp. JS20170427COW
eliz	Elizabethkingia sp. M8
chz	Chryseobacterium sp. StRB126
cgn	Chryseobacterium gallinarum
cih	Chryseobacterium sp. IHB B 17019
chh	Chryseobacterium glaciei
cio	Chryseobacterium indologenes
chry	Chryseobacterium sp. T16E-39
cpip	Chryseobacterium piperi
chrs	Chryseobacterium sp. 3008163
chrz	Chryseobacterium sp. 6424
carh	Chryseobacterium arthrosphaerae
csha	Chryseobacterium shandongense
cnk	Chryseobacterium nakagawai
cjt	Chryseobacterium joostei
cil	Chryseobacterium indoltheticum
ccau	Chryseobacterium carnipullorum
cben	Chryseobacterium bernardetii
cgle	Chryseobacterium gleum
ctai	Chryseobacterium taihuense
clac	Chryseobacterium lactis
ctak	Chryseobacterium taklimakanense
csal	Chryseobacterium salivictor
cbp	Chryseobacterium balustinum
cnp	Chryseobacterium nepalense
ccao	Chryseobacterium capnotolerans
crhi	Chryseobacterium rhizoplanae
corz	Chryseobacterium oryzae
csup	Chryseobacterium suipulveris
cdae	Chryseobacterium daecheongense
ccab	Chryseobacterium camelliae
ctur	Chryseobacterium sp. C-71
chrj	Chryseobacterium sp. JV274
cora	Chryseobacterium oranimense
cgam	Chryseobacterium gambrini
chra	Chryseobacterium sp.
chrc	Chryseobacterium gotjawalense
cflu	Chryseobacterium fluminis
cmaq	Chryseobacterium manosquense
ccuc	Chryseobacterium cucumeris
chrd	Chryseobacterium sp. D764
cjg	Kaistella jeonii
ccas	Kaistella carnis
cant	Kaistella antarctica
kda	Kaistella daneshvariae
khi	Kaistella haifensis
kbe	Candidatus Kaistella beijingensis
kfa	Kaistella flava (ex Peng et al. 2021)
kaq	Kaistella sp. 97-N-M2
cfae	Kaistella faecalis
eva	Epilithonimonas vandammei
eze	Epilithonimonas zeae
cbau	Marnyiella aurantia
cnr	Cloacibacterium normanense
ebv	Empedobacter brevis
efal	Empedobacter falsenii
este	Empedobacter stercoris
bcad	Bergeyella cardium
bpor	Bergeyella porcorum
apib	Apibacter sp. B2966
civ	Cruoricaptor ignavus
fbo	Faecalibacter bovis
smg	Candidatus Karelsulcia muelleri GWSS
sms	Candidatus Karelsulcia muelleri SMDSEM
smh	Candidatus Karelsulcia muelleri DMIN
sum	Candidatus Karelsulcia muelleri CARI
smv	Candidatus Karelsulcia muelleri Sulcia-ALF
smub	Candidatus Karelsulcia muelleri BGSS
smum	Candidatus Karelsulcia muelleri ML
smue	Candidatus Karelsulcia muelleri TETUND
smup	Candidatus Karelsulcia muelleri PSPU
elv	Candidatus Walczuchella monophlebidarum
udi	Candidatus Uzinura diaspidicola
sbos	Candidatus Shikimatogenerans bostrichidophilus
bbl	Blattabacterium sp. (Blattella germanica) Bge
bpi	Blattabacterium sp. BPLAN (Periplaneta americana)
bmm	Blattabacterium sp. (Mastotermes darwiniensis)
bcp	Blattabacterium Cpu (Cryptocercus punctulatus)
bbg	Blattabacterium sp. (Blaberus giganteus)
bbq	Blattabacterium sp. (Blatta orientalis)
blp	Blattabacterium cuenoti
blu	Blattabacterium sp. (Nauphoeta cinerea)
blck	Blattabacterium sp. (Cryptocercus kyebangensis)
bpun	Blattabacterium punctulatus
blad	Blattabacterium sp. DPU
fte	Fluviicola taffensis
flu	Candidatus Fluviicola riflensis
crm	Paracrocinitomix mangrovi
oho	Owenweeksia hongkongensis
chyd	Croceimicrobium hydrocarbonivorans
ise	Ichthyobacterium seriolicida
ptan	Parvicella tangerina
bus	Candidatus Bostrichicola ureolyticus
shyr	Candidatus Sulfidibacterium hydrothermale
bbau	Bacteroidetes bacterium
cte	Chlorobaculum tepidum
cpc	Chlorobaculum parvum
clz	Chlorobaculum limnaeum
cch	Chlorobium chlorochromatii
cph	Chlorobium phaeobacteroides DSM 266
cpb	Chlorobium phaeobacteroides BS1
cli	Chlorobium limicola
pvi	Chlorobium phaeovibrioides
plt	Pelodictyon luteolum
pph	Pelodictyon phaeoclathratiforme
paa	Prosthecochloris aestuarii
proc	Prosthecochloris sp. CIB 2401
prs	Prosthecochloris sp. HL-130-GSB
pros	Prosthecochloris sp. GSB1
prow	Prosthecochloris sp. SCSIO W1101
proi	Prosthecochloris sp. SCSIO W1103
cts	Chloroherpeton thalassium
rmr	Rhodothermus marinus DSM 4252
rmg	Rhodothermus marinus SG0.5JP17-172
rlo	Rhodocaloribacter litoris
rbar	Rhodothermaceae bacterium RA
sru	Salinibacter ruber DSM 13855
srm	Salinibacter ruber M8
ial	Ignavibacterium album
mro	Melioribacter roseus
cprv	Cyclonatronum proteinivorum
caci	Candidatus Cloacimonas acidaminovorans
fml	Fidelibacter multiformis
aae	Aquifex aeolicus
hya	Hydrogenobaculum sp. Y04AAS1
hho	Hydrogenobaculum sp. HO
hys	Hydrogenobaculum sp. SN
hth	Hydrogenobacter thermophilus
hte	Hydrogenobacter thermophilus
tal	Thermocrinis albus
trd	Thermocrinis ruber
sul	Sulfurihydrogenibium sp. YO3AOP1
saf	Sulfurihydrogenibium azorense
pmx	Persephonella marina
tam	Thermovibrio ammonificans
dte	Desulfurobacterium thermolithotrophum
ttk	Thermosulfidibacter takaii
cpo	Coprothermobacter proteolyticus
cex	Caldisericum exile
din	Desulfurispirillum indicum
ddf	Deferribacter desulfuricans
dap	Denitrovibrio acetiphilus
gtl	Geovibrio thiophilus
cni	Calditerrivibrio nitroreducens
fsi	Flexistipes sinusarabici
msch	Mucispirillum schaedleri
caby	Caldithrix abyssi
dth	Dictyoglomus thermophilum
dtu	Dictyoglomus turgidum
tye	Thermodesulfovibrio yellowstonii
tob	Thermodesulfovibrio obliviosus
taut	Thermodesulfovibrio autotrophicus
dtp	Dissulfurispira thermophila
nde	Nitrospira defluvii
nmv	Nitrospira moscoviensis
nio	Candidatus Nitrospira inopinata
nja	Nitrospira japonica
nkf	Candidatus Nitrospira kreftii
nif	Nitrospira sp. KM1
nti	Nitrospira tepida
nall	Candidatus Nitrospira allomarina
nneo	Candidatus Nitrospira neomarina
lfc	Leptospirillum ferrooxidans
lfi	Leptospirillum ferriphilum ML-04
lfp	Leptospirillum ferriphilum YSK
leg	Leptospirillum sp. Group II
nli	Candidatus Nitronauta litoralis
nwt	Nitrospina watsonii
nva	Candidatus Nitrohelix vancouverensis
alam	Atribacter laminatus
tvx	Thermatribacter velox
atho	Atrimonas thermophila
bsed	Bradymonas sediminis
pcay	Persicimonas caeni
bbae	Microvenator marinus
dhr	Dissulfurimicrobium hydrothermale
bsu	Bacillus subtilis subsp. subtilis 168
bsr	Bacillus subtilis subsp. subtilis RO-NN-1
bsl	Bacillus subtilis subsp. subtilis BSP1
bsh	Bacillus subtilis subsp. subtilis 6051-HGW
bsy	Bacillus subtilis subsp. subtilis BAB-1
bsut	Bacillus subtilis subsp. subtilis AG1839
bsul	Bacillus subtilis subsp. subtilis JH642
bsus	Bacillus subtilis subsp. subtilis OH 131.1
bso	Bacillus subtilis subsp. natto BEST195
bsn	Bacillus subtilis BSn5
bsq	Bacillus subtilis QB928
bsx	Bacillus subtilis XF-1
bsp	Bacillus subtilis PY79
bss	Bacillus subtilis subsp. spizizenii W23
bst	Bacillus spizizenii TU-B-10
bit	Bacillus spizizenii T30
bli	Bacillus licheniformis ATCC 14580
bld	Bacillus licheniformis DSM 13 = ATCC 14580
blh	Bacillus paralicheniformis
bay	Bacillus velezensis FZB42
baq	Bacillus velezensis CAU B946
bya	Bacillus velezensis YAU B9601-Y2
bqy	Bacillus velezensis YAU B9601-Y2
bamp	Bacillus velezensis AS43.3
baml	Bacillus velezensis UCMB5036
bama	Bacillus velezensis UCMB5033
bamn	Bacillus velezensis UCMB5113
bamb	Bacillus velezensis NAU-B3
bamt	Bacillus velezensis TrigoCor1448
bamy	Bacillus velezensis SQR9
bmp	Bacillus velezensis JS25R
bao	Bacillus amyloliquefaciens DSM 7
baz	Bacillus amyloliquefaciens TA208
bql	Bacillus amyloliquefaciens LL3
bxh	Bacillus amyloliquefaciens XH7
bami	Bacillus amyloliquefaciens IT-45
bamc	Bacillus amyloliquefaciens CC178
bamf	Bacillus amyloliquefaciens LFB112
bsia	Bacillus siamensis
bae	Bacillus atrophaeus
bvm	Bacillus vallismortis
bson	Bacillus sonorensis
bht	Bacillus halotolerans
bmoj	Bacillus mojavensis
bteq	Bacillus tequilensis
biq	Bacillus inaquosorum
bstr	Bacillus stercoris
ban	Bacillus anthracis Ames
bar	Bacillus anthracis Ames Ancestor
bat	Bacillus anthracis Sterne
bah	Bacillus anthracis CDC 684
bai	Bacillus anthracis A0248
bax	Bacillus anthracis H9401
bant	Bacillus anthracis A16
banr	Bacillus anthracis A16R
bans	Bacillus anthracis SVA11
banh	Bacillus anthracis HYU01
banv	Bacillus anthracis Vollum
bce	Bacillus cereus ATCC 14579
bca	Bacillus cereus ATCC 10987
bcz	Bacillus cereus E33L
bcr	Bacillus cereus AH187
bcb	Bacillus cereus B4264
bcu	Bacillus cereus AH820
bcg	Bacillus cereus G9842
bcq	Bacillus cereus Q1
bcx	Bacillus cereus 03BB102
bal	Bacillus cereus biovar anthracis CI
bnc	Bacillus cereus NC7401
bcf	Bacillus cereus F837/76
bcer	Bacillus cereus FRI-35
bcef	Bacillus cereus FT9
bcy	Bacillus cytotoxicus
btk	Bacillus thuringiensis serovar konkukian 97-27
btl	Bacillus thuringiensis Al Hakam
btb	Bacillus thuringiensis BMB171
btt	Bacillus thuringiensis serovar kurstaki HD73
bthr	Bacillus thuringiensis serovar kurstaki YBT-1520
bthi	Bacillus thuringiensis serovar kurstaki HD-1
btc	Bacillus thuringiensis serovar chinensis CT-43
btf	Bacillus thuringiensis serovar finitimus YBT-020
btm	Bacillus thuringiensis MC28
btg	Bacillus thuringiensis Bt407
bti	Bacillus thuringiensis HD-771
btn	Bacillus thuringiensis HD-789
btht	Bacillus thuringiensis serovar thuringiensis IS5056
bthu	Bacillus thuringiensis YBT-1518
btw	Bacillus thuringiensis HD1011
bthy	Bacillus thuringiensis YWC2-8
bwe	Bacillus mycoides KBAB4
bww	Bacillus mycoides WSBC 10204
bmyo	Bacillus mycoides ATCC 6462
bty	Bacillus toyonensis
bmyc	Bacillus pseudomycoides 219298
bby	Bacillus bombysepticus
bwd	Bacillus wiedmannii
btro	Bacillus tropicus
bmob	Bacillus mobilis
bnt	Bacillus nitratireducens
bpac	Bacillus pacificus
bpan	Bacillus paranthracis
balu	Bacillus albus
bpu	Bacillus pumilus SAFR-032
bpum	Bacillus pumilus MTCC B6033
bpus	Bacillus pumilus SH-B9
bif	Bacillus infantis
bmet	Bacillus methanolicus
bsm	Bacillus smithii
bgy	Bacillus glycinifermentans
bwh	Bacillus weihaiensis
bxi	Bacillus xiamenensis
balt	Bacillus altitudinis
baer	Bacillus aerophilus
bsaf	Bacillus safensis
bfd	Bacillus freudenreichii
bshi	Bacillus shivajii
bcab	Bacillus cabrialesii
bry	Bacillus rugosus
bjs	Bacillus sp. JS
baci	Bacillus sp. 1NLA3E
gst	Bacillus sp. X1(2014)
bacw	Bacillus sp. WP8
bacp	Bacillus sp. Pc3
bacb	Bacillus sp. BH072
baco	Bacillus sp. OxB-1
bacy	Bacillus sp. YP1
bacl	Bacillus sp. BS34A
balm	Bacillus sp. LM 4-2
bacs	Bacillus sp. SDLI1
bacq	Bacillus sp. Y1
baca	Bacillus sp. S3
baqu	Bacillus aquiflavi
bzh	Bacillus zhangzhouensis
bhai	Bacillus haikouensis
bcao	Bacillus carboniphilus
bard	Bacillus arachidis
baei	Bacillus aerius
basb	Bacillus sp. SB49
bacf	Bacillus sp. FJAT-18017
bafc	Bacillus sp. FCW2
bkn	Bacillus kandeliae
basd	Bacillus sp. SD-4
bco	Evansella cellulosilytica
bhk	Sutcliffiella horikoshii
bcoh	Sutcliffiella cohnii
bcir	Niallia circulans
ntx	Niallia taxi
nil	Niallia sp. Man26
ntgc	Niallia tiangongensis
bmq	Priestia megaterium QM B1551
bmd	Priestia megaterium DSM 319
bmh	Bacillus megaterium WSH-002
bmeg	Bacillus megaterium NBRC 15308 = ATCC 14581
beo	Priestia filamentosa
bfx	Priestia flexa
parh	Priestia aryabhattai
pks	Priestia koreensis
bha	Halalkalibacterium halodurans
bkw	Halalkalibacter krulwichiae
bcl	Shouchella clausii
ble	Shouchella lehensis
shua	Shouchella hunanensis
bgi	Alkalicoccobacillus gibsonii
bpf	Alkalihalophilus pseudofirmus
bon	Cytobacillus oceanisediminis
bko	Cytobacillus kochii
cgot	Cytobacillus gottheilii
cfir	Cytobacillus firmus
csoa	Cytobacillus solani
cspg	Cytobacillus spongiae
cpss	Cytobacillus pseudoceanisediminis
bda	Cytobacillus dafuensis
csua	Litchfieldia suaedae
oih	Oceanobacillus iheyensis
ocn	Oceanobacillus zhaokaii
ocb	Oceanobacillus sp. 143
ojd	Oceanobacillus jeddahense
oon	Oceanobacillus oncorhynchi
axl	Amphibacillus xylanus
lsp	Lysinibacillus sphaericus
lgy	Lysinibacillus varians
lfu	Lysinibacillus fusiformis
lys	Lysinibacillus sp. YS11
lyb	Lysinibacillus sp. B2A1
lyz	Lysinibacillus sp. 2017
lyg	Lysinibacillus sp. SGAir0095
lpak	Lysinibacillus pakistanensis
lagr	Lysinibacillus agricola
lmac	Lysinibacillus macroides
lyc	Lysinibacillus sp. CD3-6
lcap	Lysinibacillus capsici
lyp	Lysinibacillus sp. PLM2
liu	Lysinibacillus irui
llb	Lysinibacillus louembei
lyq	Lysinibacillus sp. Ag94
lym	Lysinibacillus sp. MHQ-1
lyo	Lysinibacillus sp. OF-1
hhd	Halobacillus halophilus
hmn	Halobacillus mangrovi
hli	Halobacillus litoralis
hnz	Halobacillus naozhouensis
hsan	Halobacillus salinarum
hshi	Halobacillus shinanisalinarum
hamy	Halobacillus amylolyticus
tap	Terribacillus goriensis
taid	Terribacillus sp. DMT04
vir	Virgibacillus sp. SK37
vhl	Virgibacillus halodenitrificans
vig	Virgibacillus sp. 6R
vil	Virgibacillus phasianinus
vne	Virgibacillus necropolis
vpn	Virgibacillus dokdonensis
vim	Virgibacillus sp. MSP4-1
vpt	Virgibacillus pantothenticus
vnt	Virgibacillus natechei
vik	Virgibacillus sp. NKC19-16
vss	Virgibacillus salarius
lao	Lentibacillus amyloliquefaciens
lex	Lentibacillus sp. CBA3610
fpn	Fictibacillus phosphorivorans
far	Fictibacillus arsenicus
fec	Fictibacillus enclensis
sje	Salimicrobium jeotgali
sapl	Salimicrobium sp. PL1-032A
apak	Aeribacillus pallidus
acop	Aeribacillus composti
bsj	Peribacillus simplex
bmur	Peribacillus muralis
pbut	Peribacillus butanolivorans
pasa	Peribacillus asahii
ppsr	Peribacillus psychrosaccharolyticus
pfri	Peribacillus frigoritolerans
peri	Peribacillus sp. R9-11
aqt	Radiobacillus deserti
rax	Radiobacillus kanasensis
bthv	Caldibacillus thermoamylovorans
psyh	Psychrobacillus sp. AK 1817
psyo	Psychrobacillus glaciei
psyb	Psychrobacillus sp. INOP01
prd	Pradoshia sp. D12
grc	Gracilibacillus salitolerans
gcs	Gracilibacillus caseinilyticus
gsm	Gracilibacillus salinarum
rue	Salicibibacter kimchii
sale	Salicibibacter halophilus
scib	Salicibibacter cibi
scia	Salicibibacter cibarius
pof	Pontibacillus sp. HMF3514
pchu	Pontibacillus chungwhensis
pona	Pontibacillus sp. ALD_SL1
nmk	Neobacillus mesonae
ntm	Neobacillus thermocopriae
ndt	Neobacillus drentensis
ncm	Neobacillus cucumis
nnv	Neobacillus novalis
meku	Metabacillus elymi
msem	Metabacillus sediminilitoris
mdg	Metabacillus dongyingensis
mlit	Metabacillus litoralis
menl	Metabacillus endolithicus
mebz	Metabacillus sp. B2-18
mrl	Metabacillus rhizosphaerae
msee	Metabacillus sediminis
aia	Anaerobacillus isosaccharinicus
blen	Lederbergia lenta
sedd	Sediminibacillus dalangtanensis
bvq	Rossellomorea vietnamensis
rmf	Rossellomorea marisflavi
raz	Rossellomorea aquimaris
rod	Rossellomorea sp. DA94
ross	Rossellomorea sp. y25
bck	Heyndrickxia coagulans 2-6
bag	Heyndrickxia coagulans 36D1
bcoa	Heyndrickxia coagulans DSM 1 = ATCC 7050
bvj	Heyndrickxia vini
bou	Heyndrickxia oleronia
hspo	Heyndrickxia sporothermodurans
cthu	Caldalkalibacillus thermarum
bbev	Salisediminibacterium beveridgei
bse	Bacillus selenitireducens
mcui	Mangrovibacillus cuniculi
gaj	Gottfriedia acidiceleris
psua	Paenalkalicoccus suaedae
slms	Salipaludibacillus sp. LMS25
mjo	Mesobacillus jeotgali
msut	Mesobacillus subterraneus
fhl	Fervidibacillus halotolerans
faf	Fervidibacillus albus
sfor	Siminovitchia fortis
ecto	Ectobacillus sp. JY-23
tei	Terrilactibacillus sp. S3-3
alkl	Alkalihalobacillus sp. LMS39
alkg	Alkalihalobacillus sp. AL-G
phj	Pseudalkalibacillus hwajinpoensis
dom	Domibacillus sp. DTU_2020_1001157_1_SI_ALB_TIR_016
ahal	Alkalicoccus halolimnae
achp	Aciduricibacillus chroicocephali
bbad	Pseudobacillus badius
gka	Geobacillus kaustophilus
gte	Geobacillus thermoleovorans CCB_US3_UF5
gtk	Geobacillus thermoleovorans KCTC 3570
gtm	Geobacillus thermocatenulatus
gli	Geobacillus lituanicus
bcal	Bacillus caldolyticus
gtn	Geobacillus thermodenitrificans
gwc	Geobacillus sp. WCH70
gyc	Geobacillus sp. Y412MC61
gya	Geobacillus sp. Y412MC52
gct	Geobacillus sp. C56-T3
gmc	Geobacillus sp. Y4.1MC1
ggh	Geobacillus sp. GHH01
gjf	Geobacillus genomosp. 3
gea	Geobacillus sp. 12AMOR1
gel	Geobacillus sp. LC300
gse	Geobacillus stearothermophilus
gsr	Geobacillus subterraneus
gej	Geobacillus sp. JS12
gza	Geobacillus zalihae
gth	Parageobacillus thermoglucosidasius C56-YS93
ptl	Parageobacillus thermoglucosidasius DSM 2542
ptb	Parageobacillus toebii NBRC 107807
parg	Parageobacillus sp. KH3-4
pcal	Saccharococcus caldoxylosilyticus
afl	Anoxybacillus flavithermus
agn	Anoxybacillus gonensis
anm	Anoxybacillus sp. B2M1
anl	Anoxybacillus sp. B7M1
and	Anoxybacillus sp. PDR2
aayd	Anoxybacillus ayderensis
acai	Thermaerobacillus caldiproteolyticus
aamy	Anoxybacteroides amylolyticum
hyi	Hydrogenibacillus sp. N12
stea	Sporolactobacillus terrae
puk	Pullulanibacillus sp. KACC 23026
sau	Staphylococcus aureus subsp. aureus N315 (MRSA/VSSA)
sav	Staphylococcus aureus subsp. aureus Mu50 (MRSA/VISA)
saw	Staphylococcus aureus subsp. aureus Mu3 (MRSA/hetero-VISA)
sah	Staphylococcus aureus subsp. aureus JH1 (MRSA/VSSA)
saj	Staphylococcus aureus subsp. aureus JH9 (MRSA/VISA)
sam	Staphylococcus aureus subsp. aureus MW2 (CA-MRSA)
sas	Staphylococcus aureus subsp. aureus MSSA476 (MSSA)
sar	Staphylococcus aureus subsp. aureus MRSA252 (MRSA)
sac	Staphylococcus aureus subsp. aureus COL (MRSA)
sax	Staphylococcus aureus subsp. aureus USA300_TCH1516 (CA-MRSA)
saa	Staphylococcus aureus subsp. aureus USA300_FPR3757 (CA-MRSA)
sao	Staphylococcus aureus subsp. aureus NCTC8325
sae	Staphylococcus aureus subsp. aureus Newman
sad	Staphylococcus aureus subsp. aureus ED98
suu	Staphylococcus aureus subsp. aureus M013 (CA-MRSA)
suv	Staphylococcus aureus subsp. aureus VC40
sue	Staphylococcus aureus subsp. aureus ED133
suj	Staphylococcus aureus subsp. aureus JKD6159 (CA-MRSA)
suk	Staphylococcus aureus subsp. aureus JKD6008 (MRSA/VISA)
suc	Staphylococcus aureus subsp. aureus ECT-R 2 (MSSA)
sut	Staphylococcus aureus subsp. aureus T0131 (MRSA)
suq	Staphylococcus aureus subsp. aureus TCH60
suz	Staphylococcus aureus subsp. aureus 11819-97 (CA-MRSA)
sud	Staphylococcus aureus subsp. aureus 71193 (MSSA)
sux	Staphylococcus aureus subsp. aureus HO 5096 0412 (MRSA)
suw	Staphylococcus aureus subsp. aureus TW20 (MRSA)
sug	Staphylococcus aureus subsp. aureus ST398 (MRSA)
suf	Staphylococcus aureus subsp. aureus LGA251 (MRSA)
saua	Staphylococcus aureus subsp. aureus 55/2053
saue	Staphylococcus aureus subsp. aureus 6850 (MSSA)
saun	Staphylococcus aureus subsp. aureus CN1 (CA-MRSA)
saus	Staphylococcus aureus subsp. aureus SA40 (CA-MRSA)
sauu	Staphylococcus aureus subsp. aureus SA957 (CA-MRSA)
saug	Staphylococcus aureus subsp. aureus SA268 (CA-MRSA)
sauz	Staphylococcus aureus subsp. aureus Z172 (MRSA/VISA)
